scenario,method,action_category,mean_usage_share,std_usage_share,n_seeds,aggregation_level
standard_moderate,baseline_rl,communication,0.26879237859768185,0.020461374441988128,3,method_category_seed_mean_then_across_seeds
standard_moderate,baseline_rl,coordinated,0.03762842472171863,0.0035848302900645416,3,method_category_seed_mean_then_across_seeds
standard_moderate,baseline_rl,feeder,0.0284453393658141,0.0037696669685427175,3,method_category_seed_mean_then_across_seeds
standard_moderate,baseline_rl,mobile_energy,0.1218717203502826,0.007512873392162399,3,method_category_seed_mean_then_across_seeds
standard_moderate,baseline_rl,power,0.1480237759327878,0.009991817179437958,3,method_category_seed_mean_then_across_seeds
standard_moderate,baseline_rl,road,0.20850747926807753,0.0027161791739126746,3,method_category_seed_mean_then_across_seeds
standard_moderate,baseline_rl,wait,0.18673088176363675,0.004821493849957865,3,method_category_seed_mean_then_across_seeds
standard_moderate,full_outer_loop,communication,0.289006557826444,0.01019968859206925,3,method_category_seed_mean_then_across_seeds
standard_moderate,full_outer_loop,coordinated,0.0274285039948719,0.00892764935691918,3,method_category_seed_mean_then_across_seeds
standard_moderate,full_outer_loop,feeder,0.028327483937157633,0.011001918452752533,3,method_category_seed_mean_then_across_seeds
standard_moderate,full_outer_loop,mobile_energy,0.11926825025487427,0.01191910475416572,3,method_category_seed_mean_then_across_seeds
standard_moderate,full_outer_loop,power,0.1532034171220574,0.016339634030377623,3,method_category_seed_mean_then_across_seeds
standard_moderate,full_outer_loop,road,0.20698725300752305,0.010024985589234472,3,method_category_seed_mean_then_across_seeds
standard_moderate,full_outer_loop,wait,0.175778533857071,0.007749674177369658,3,method_category_seed_mean_then_across_seeds
standard_moderate,single_shot_llm,communication,0.28644190375771866,0.009274464064389516,3,method_category_seed_mean_then_across_seeds
standard_moderate,single_shot_llm,coordinated,0.0351767500132055,0.005147503814533647,3,method_category_seed_mean_then_across_seeds
standard_moderate,single_shot_llm,feeder,0.02677271361913643,0.008593596298001023,3,method_category_seed_mean_then_across_seeds
standard_moderate,single_shot_llm,mobile_energy,0.12994372523823067,0.02597098526894801,3,method_category_seed_mean_then_across_seeds
standard_moderate,single_shot_llm,power,0.16455078230872208,0.015277485562873174,3,method_category_seed_mean_then_across_seeds
standard_moderate,single_shot_llm,road,0.18045066264546028,0.03902896168779964,3,method_category_seed_mean_then_across_seeds
standard_moderate,single_shot_llm,wait,0.1766634624175258,0.006243892541931241,3,method_category_seed_mean_then_across_seeds
