scenario,method,step,mean_progress_delta,std_progress_delta,n_traces,n_unique_seeds,aggregation_level
standard_moderate,baseline_rl,0,0.004446638955010266,0.0027551684572452934,18,3,method_step_across_available_traces
standard_moderate,baseline_rl,1,0.004459652635786233,0.002793000463020452,18,3,method_step_across_available_traces
standard_moderate,baseline_rl,2,0.004472785525851745,0.002831244471754342,18,3,method_step_across_available_traces
standard_moderate,baseline_rl,3,0.004486093918482433,0.0028699667414355096,18,3,method_step_across_available_traces
standard_moderate,baseline_rl,4,0.004460963937971289,0.0027968602815983293,18,3,method_step_across_available_traces
standard_moderate,baseline_rl,5,0.0044738517867193885,0.0028343694310162594,18,3,method_step_across_available_traces
standard_moderate,baseline_rl,6,0.003390684723854037,0.0002988506445994842,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,7,0.002625010907649975,0.0015652540885426449,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,8,0.004990562796592687,0.0041004924573408855,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,9,0.010594353079795825,0.0009515815625219752,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,10,0.010340146720409312,0.0006795121619910137,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,11,0.0051249712705611706,0.0047506146834705495,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,12,0.005051076412200878,0.0048663133569536825,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,13,0.004170991480350476,0.005537651691751952,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,14,0.005506586283445321,0.00476671130453695,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,15,0.0052221454679965505,0.004988945989746606,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,16,0.002111490815877871,0.0014077283851150245,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,17,0.004355348646640757,0.005826444837502925,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,18,0.005187228322029081,0.004910132222129159,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,19,0.004037827253341654,0.005396905277391113,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,20,0.0026020146906375564,0.0015856873109707109,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,21,0.002237387001514402,0.0014205651654886867,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,22,-2.779066562652588e-06,4.971369219688911e-06,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,23,0.002238593995571096,0.0014284741450454866,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,24,0.00045645982027052505,0.0011891767271998638,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,25,0.0028134323656558626,0.0013319404553074165,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,26,0.0029036030173301064,0.0006348769514466897,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,27,0.0,0.0,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,28,0.002897508442401833,0.0009473901681421254,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,29,0.0,0.0,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,30,0.00226410478353496,0.0015937222344846443,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,31,0.00228813290596005,0.0018588399036459811,16,3,method_step_across_available_traces
standard_moderate,baseline_rl,32,0.0025929212570190135,0.001393293009843079,15,3,method_step_across_available_traces
standard_moderate,baseline_rl,33,0.0009689629077911207,0.0013564414732684506,14,3,method_step_across_available_traces
standard_moderate,baseline_rl,34,0.0024820097855158788,0.0012467416752868087,14,3,method_step_across_available_traces
standard_moderate,baseline_rl,35,0.0,0.0,13,3,method_step_across_available_traces
standard_moderate,baseline_rl,36,0.00175632880284233,0.001580105724588798,13,3,method_step_across_available_traces
standard_moderate,baseline_rl,37,0.0014744997024535847,0.0015553454896102597,13,3,method_step_across_available_traces
standard_moderate,baseline_rl,38,0.0008749961853027252,0.0015829276579862317,12,3,method_step_across_available_traces
standard_moderate,baseline_rl,39,0.0014797995487848732,0.0015445043492141907,12,3,method_step_across_available_traces
standard_moderate,full_outer_loop,0,0.004845344358020317,0.00310693814651019,18,3,method_step_across_available_traces
standard_moderate,full_outer_loop,1,0.004863967498143478,0.003149874247928862,18,3,method_step_across_available_traces
standard_moderate,full_outer_loop,2,0.0048827727635701165,0.0031932684206069932,18,3,method_step_across_available_traces
standard_moderate,full_outer_loop,3,0.0049018164475758555,0.003237196058801629,18,3,method_step_across_available_traces
standard_moderate,full_outer_loop,4,0.003921518723169922,0.0017884172228627543,18,3,method_step_across_available_traces
standard_moderate,full_outer_loop,5,0.003927386469311144,0.0018133119613831907,18,3,method_step_across_available_traces
standard_moderate,full_outer_loop,6,0.003836171494589883,0.001883986488020578,18,3,method_step_across_available_traces
standard_moderate,full_outer_loop,7,0.0031615859932369443,0.0025377291582912146,18,3,method_step_across_available_traces
standard_moderate,full_outer_loop,8,0.004824946324030533,0.003881784954753076,18,3,method_step_across_available_traces
standard_moderate,full_outer_loop,9,0.009376161628299273,0.0028434216704317744,18,3,method_step_across_available_traces
standard_moderate,full_outer_loop,10,0.00988496467471115,0.001829440501575818,16,3,method_step_across_available_traces
