robustness_group,scenario,method,seed,valid_for_paper,selection_score,min_recovery_ratio,critical_load_recovery_ratio,communication_recovery_ratio,power_recovery_ratio,road_recovery_ratio,constraint_violation_rate_eval,invalid_action_rate_eval,wait_hold_usage_eval,mean_progress_delta_eval,safety_capacity_index,candidate_source,validation_status,fallback_used,fallback_reason,selected_candidate_id,rejection_reason
robustness_stress,resource_moderate,baseline_rl,42,True,0.1971102819641431,0.4263051748275757,0.797023336092631,0.4844960669676463,0.647360642751058,0.4263051748275757,0.25,0.25,0.2416666666666666,0.0011676621933778,,,,False,,,
robustness_stress,resource_moderate,baseline_rl,43,True,0.2011460672020912,0.4284709592660268,0.7997521261374155,0.4864616394042969,0.6493236819903055,0.4284709592660268,0.2416666666666666,0.2416666666666666,0.2416666666666666,0.0012147143483161,,,,False,,,
robustness_stress,resource_moderate,baseline_rl,44,True,0.2016893196602662,0.430086687207222,0.8006219665209452,0.48776842157046,0.6506402293841044,0.430086687207222,0.2416666666666666,0.2416666666666666,0.2458333333333333,0.0012477990239858,,,,False,,,
robustness_stress,resource_moderate,full_outer_loop,42,True,0.3455287645061811,0.5891944567362467,0.9092339475949606,0.6360897521177927,0.8005076150099436,0.5891944567362467,0.0,0.0,0.35,0.0047673282523949,0.8244499415159225,noop_fallback,valid,False,,r3_feedback_refined,constraint_violation_not_allowed|critical_recovery_too_low_vs_reference|generated_not_competitive_vs_baseline_tolerance|invalid_action_not_allowed|multi_layer_recovery_regression|no_final_progress_and_not_late_stage|not_finish_oriented_under_zero_success|progress_delta_too_low_vs_reference|resource_sustainability_collapse
robustness_stress,resource_moderate,full_outer_loop,43,True,0.3466911071737607,0.5890894134839376,0.9139358202616372,0.6359846989313761,0.8157853682835897,0.5890894134839376,0.0,0.0,0.35,0.0048658676445484,0.8260588318109513,noop_fallback,valid,False,,r3_feedback_refined,constraint_violation_not_allowed|critical_recovery_too_low_vs_reference|generated_not_competitive_vs_baseline_tolerance|invalid_action_not_allowed|multi_layer_recovery_regression|no_final_progress_and_not_late_stage|not_finish_oriented_under_zero_success|progress_delta_too_low_vs_reference|resource_sustainability_collapse|wait_hold_overuse_with_low_progress
robustness_stress,resource_moderate,full_outer_loop,44,True,0.3486774490276972,0.5891944567362467,0.9217936297257742,0.6360897521177927,0.8172008792559305,0.5891944567362467,0.0,0.0,0.35,0.0048768781125545,0.8288458302617073,noop_fallback,valid,False,,r3_feedback_refined,constraint_violation_not_allowed|critical_recovery_too_low_vs_reference|generated_not_competitive_vs_baseline_tolerance|invalid_action_not_allowed|multi_layer_recovery_regression|no_final_progress_and_not_late_stage|not_finish_oriented_under_zero_success|progress_delta_too_low_vs_reference|resource_sustainability_collapse
robustness_stress,resource_moderate,single_shot_llm,42,True,0.3455287645061811,0.5891944567362467,0.9092339475949606,0.6360897521177927,0.8005076150099436,0.5891944567362467,0.0,0.0,0.35,0.0047673282523949,0.8244499415159225,noop_fallback,valid,True,,r1_backstop,constraint_violation_not_allowed|invalid_action_not_allowed|no_final_progress_and_not_late_stage|resource_sustainability_collapse
robustness_stress,resource_moderate,single_shot_llm,43,True,0.3466911071737607,0.5890894134839376,0.9139358202616372,0.6359846989313761,0.8157853682835897,0.5890894134839376,0.0,0.0,0.35,0.0048658676445484,0.8260588318109513,safe_anchor,valid,True,,r1_anchor,constraint_violation_not_allowed|invalid_action_not_allowed|no_final_progress_and_not_late_stage|resource_sustainability_collapse
robustness_stress,resource_moderate,single_shot_llm,44,True,0.3134976644714673,0.5891737739245096,0.892105390628179,0.5891737739245096,0.7613834838072459,0.6426343520482382,0.0791666666666666,0.0791666666666666,0.325,0.004311192035675,0.7946977075934409,noop_fallback,valid,False,,r1_fixed_global_anchor,constraint_violation_not_allowed|invalid_action_not_allowed|resource_sustainability_collapse
robustness_stress,standard_severe,baseline_rl,42,True,0.3464226125876108,0.6142180860042572,0.8928419947624207,0.6501415967941284,0.8104100525379181,0.6142180860042572,0.0,0.0,0.2583333333333333,0.0046062087019284,,,,False,,,
robustness_stress,standard_severe,baseline_rl,43,True,0.2499966722897121,0.523142029841741,0.7816263536612192,0.5649993320306143,0.8224928577740988,0.523142029841741,0.2416666666666666,0.2416666666666666,0.2416666666666666,0.0032412119209766,,,,False,,,
robustness_stress,standard_severe,baseline_rl,44,True,0.3434661169846852,0.6229095359643301,0.8740386366844177,0.659491499265035,0.7995838125546774,0.6229095359643301,0.0,0.0,0.2666666666666666,0.0046818827589352,,,,False,,,
robustness_stress,standard_severe,full_outer_loop,42,True,0.3394684397975603,0.6186127364635468,0.8615386585394541,0.6548512776692709,0.7852780620257059,0.6186127364635468,0.0,0.0,0.2583333333333333,0.0045153483748435,0.8180529882510503,noop_fallback,valid,False,,r3_feedback_refined,constraint_violation_not_allowed|critical_recovery_too_low_vs_reference|generated_not_competitive_vs_baseline_tolerance|invalid_action_not_allowed|multi_layer_recovery_regression|no_final_progress_and_not_late_stage|not_finish_oriented_under_zero_success|progress_delta_too_low_vs_reference|resource_sustainability_collapse
robustness_stress,standard_severe,full_outer_loop,43,True,0.4750777199015961,0.6223797698815664,0.8675095240275065,0.65894482533137,0.8149617910385132,0.6223797698815664,0.0,0.0,0.2649572649572649,0.0048881448134108,0.8214612528681755,noop_fallback,valid,False,,r3_feedback_refined,constraint_violation_not_allowed|critical_recovery_too_low_vs_reference|generated_not_competitive_vs_baseline_tolerance|invalid_action_not_allowed|multi_layer_recovery_regression|no_final_progress_and_not_late_stage|not_finish_oriented_under_zero_success|progress_delta_too_low_vs_reference|resource_sustainability_collapse
robustness_stress,standard_severe,full_outer_loop,44,True,0.4425514642968488,0.616388072570165,0.8764612674713135,0.6775391399860382,0.805474986632665,0.616388072570165,0.0,0.0,0.2669491525423729,0.0048552246557341,0.8224972690145175,noop_fallback,valid,False,,r3_feedback_refined,constraint_violation_not_allowed|critical_recovery_too_low_vs_reference|generated_not_competitive_vs_baseline_tolerance|invalid_action_not_allowed|multi_layer_recovery_regression|no_final_progress_and_not_late_stage|not_finish_oriented_under_zero_success|progress_delta_too_low_vs_reference|resource_sustainability_collapse
robustness_stress,standard_severe,single_shot_llm,42,True,0.3394684397975603,0.6186127364635468,0.8615386585394541,0.6548512776692709,0.7852780620257059,0.6186127364635468,0.0,0.0,0.2583333333333333,0.0045153483748435,0.8180529882510503,noop_fallback,valid,True,,r1_backstop,constraint_violation_not_allowed|invalid_action_not_allowed|no_final_progress_and_not_late_stage|resource_sustainability_collapse
robustness_stress,standard_severe,single_shot_llm,43,True,0.4750777199015961,0.6223797698815664,0.8675095240275065,0.65894482533137,0.8149617910385132,0.6223797698815664,0.0,0.0,0.2649572649572649,0.0048881448134108,0.8214612528681755,noop_fallback,valid,True,,r1_backstop,constraint_violation_not_allowed|invalid_action_not_allowed|resource_sustainability_collapse
robustness_stress,standard_severe,single_shot_llm,44,True,0.4425514642968488,0.616388072570165,0.8764612674713135,0.6775391399860382,0.805474986632665,0.616388072570165,0.0,0.0,0.2669491525423729,0.0048552246557341,0.8224972690145175,noop_fallback,valid,True,,r1_backstop,constraint_violation_not_allowed|invalid_action_not_allowed|resource_sustainability_collapse
