scenario,method,seed,action,action_category,usage_rate
standard_moderate,baseline_rl,42,0,,0.03666666666666667
standard_moderate,baseline_rl,42,1,,0.04
standard_moderate,baseline_rl,42,2,,0.04
standard_moderate,baseline_rl,42,3,,0.05
standard_moderate,baseline_rl,42,4,,0.05
standard_moderate,baseline_rl,42,5,,0.05
standard_moderate,baseline_rl,42,6,,0.06333333333333334
standard_moderate,baseline_rl,42,7,,0.043333333333333335
standard_moderate,baseline_rl,42,8,,0.04666666666666667
standard_moderate,baseline_rl,42,9,,0.12
standard_moderate,baseline_rl,42,10,,0.07666666666666666
standard_moderate,baseline_rl,42,11,,0.13
standard_moderate,baseline_rl,42,12,,0.10333333333333333
standard_moderate,baseline_rl,42,13,,0.05333333333333334
standard_moderate,baseline_rl,42,14,,0.09666666666666666
standard_moderate,baseline_rl,43,0,,0.06333333333333334
standard_moderate,baseline_rl,43,1,,0.05
standard_moderate,baseline_rl,43,2,,0.04666666666666667
standard_moderate,baseline_rl,43,3,,0.05333333333333334
standard_moderate,baseline_rl,43,4,,0.04666666666666667
standard_moderate,baseline_rl,43,5,,0.056666666666666664
standard_moderate,baseline_rl,43,6,,0.043333333333333335
standard_moderate,baseline_rl,43,7,,0.03333333333333333
standard_moderate,baseline_rl,43,8,,0.056666666666666664
standard_moderate,baseline_rl,43,9,,0.09333333333333334
standard_moderate,baseline_rl,43,10,,0.09333333333333334
standard_moderate,baseline_rl,43,11,,0.09
standard_moderate,baseline_rl,43,12,,0.13
standard_moderate,baseline_rl,43,13,,0.04
standard_moderate,baseline_rl,43,14,,0.10333333333333333
standard_moderate,baseline_rl,44,0,,0.04666666666666667
standard_moderate,baseline_rl,44,1,,0.05
standard_moderate,baseline_rl,44,2,,0.06
standard_moderate,baseline_rl,44,3,,0.043333333333333335
standard_moderate,baseline_rl,44,4,,0.04
standard_moderate,baseline_rl,44,5,,0.05
standard_moderate,baseline_rl,44,6,,0.056666666666666664
standard_moderate,baseline_rl,44,7,,0.03333333333333333
standard_moderate,baseline_rl,44,8,,0.07333333333333333
standard_moderate,baseline_rl,44,9,,0.11
standard_moderate,baseline_rl,44,10,,0.09666666666666666
standard_moderate,baseline_rl,44,11,,0.09
standard_moderate,baseline_rl,44,12,,0.10666666666666667
standard_moderate,baseline_rl,44,13,,0.06
standard_moderate,baseline_rl,44,14,,0.08333333333333333
standard_moderate,single_shot_llm,42,0,,0.05333333333333334
standard_moderate,single_shot_llm,42,1,,0.07666666666666666
standard_moderate,single_shot_llm,42,2,,0.02666666666666667
standard_moderate,single_shot_llm,42,3,,0.05333333333333334
standard_moderate,single_shot_llm,42,4,,0.04
standard_moderate,single_shot_llm,42,5,,0.07
standard_moderate,single_shot_llm,42,6,,0.04666666666666667
standard_moderate,single_shot_llm,42,7,,0.03333333333333333
standard_moderate,single_shot_llm,42,8,,0.043333333333333335
standard_moderate,single_shot_llm,42,9,,0.08666666666666667
standard_moderate,single_shot_llm,42,10,,0.10333333333333333
standard_moderate,single_shot_llm,42,11,,0.06666666666666667
standard_moderate,single_shot_llm,42,12,,0.12
standard_moderate,single_shot_llm,42,13,,0.06
standard_moderate,single_shot_llm,42,14,,0.12
standard_moderate,single_shot_llm,43,0,,0.03333333333333333
standard_moderate,single_shot_llm,43,1,,0.05
standard_moderate,single_shot_llm,43,2,,0.06333333333333334
standard_moderate,single_shot_llm,43,3,,0.03
standard_moderate,single_shot_llm,43,4,,0.05333333333333334
standard_moderate,single_shot_llm,43,5,,0.05333333333333334
standard_moderate,single_shot_llm,43,6,,0.056666666666666664
standard_moderate,single_shot_llm,43,7,,0.04666666666666667
standard_moderate,single_shot_llm,43,8,,0.056666666666666664
standard_moderate,single_shot_llm,43,9,,0.11
standard_moderate,single_shot_llm,43,10,,0.06
standard_moderate,single_shot_llm,43,11,,0.11666666666666667
standard_moderate,single_shot_llm,43,12,,0.13666666666666666
standard_moderate,single_shot_llm,43,13,,0.05333333333333334
standard_moderate,single_shot_llm,43,14,,0.08
standard_moderate,single_shot_llm,44,0,,0.04666666666666667
standard_moderate,single_shot_llm,44,1,,0.05
standard_moderate,single_shot_llm,44,2,,0.06
standard_moderate,single_shot_llm,44,3,,0.043333333333333335
standard_moderate,single_shot_llm,44,4,,0.04
standard_moderate,single_shot_llm,44,5,,0.05
standard_moderate,single_shot_llm,44,6,,0.056666666666666664
standard_moderate,single_shot_llm,44,7,,0.03333333333333333
standard_moderate,single_shot_llm,44,8,,0.07333333333333333
standard_moderate,single_shot_llm,44,9,,0.10666666666666667
standard_moderate,single_shot_llm,44,10,,0.09666666666666666
standard_moderate,single_shot_llm,44,11,,0.09
standard_moderate,single_shot_llm,44,12,,0.10666666666666667
standard_moderate,single_shot_llm,44,13,,0.06
standard_moderate,single_shot_llm,44,14,,0.08666666666666667
standard_moderate,full_outer_loop,42,0,,0.05333333333333334
standard_moderate,full_outer_loop,42,1,,0.07666666666666666
standard_moderate,full_outer_loop,42,2,,0.02666666666666667
standard_moderate,full_outer_loop,42,3,,0.05333333333333334
