scenario,method,seed,phase,episode,reward
standard_moderate,baseline_rl,42,train,0,0.7942666927265237
standard_moderate,baseline_rl,42,train,1,0.13354875123099197
standard_moderate,baseline_rl,42,train,2,0.9677937361548539
standard_moderate,baseline_rl,42,train,3,0.7224854456444155
standard_moderate,baseline_rl,42,train,4,-3.687783639790141
standard_moderate,baseline_rl,42,train,5,1.0751874344304089
standard_moderate,baseline_rl,42,train,6,0.9825662032299443
standard_moderate,baseline_rl,42,train,7,0.26333227460738273
standard_moderate,baseline_rl,42,train,8,1.116811106224195
standard_moderate,baseline_rl,42,train,9,0.8029271775117377
standard_moderate,baseline_rl,42,train,10,0.11746899341291286
standard_moderate,baseline_rl,42,train,11,0.8140091246354861
standard_moderate,baseline_rl,42,train,12,1.3222398309176784
standard_moderate,baseline_rl,42,train,13,0.22734583997371377
standard_moderate,baseline_rl,42,train,14,0.7483523768238959
standard_moderate,baseline_rl,42,train,15,0.8860865581885445
standard_moderate,baseline_rl,42,train,16,0.1966714859288186
standard_moderate,baseline_rl,42,train,17,0.9620486625816558
standard_moderate,baseline_rl,42,train,18,0.4421275000926108
standard_moderate,baseline_rl,42,train,19,-2.199202619869999
standard_moderate,baseline_rl,42,eval,0,0.7778493484342474
standard_moderate,baseline_rl,42,eval,1,0.12132917322451267
standard_moderate,baseline_rl,42,eval,2,0.9380911904096139
standard_moderate,baseline_rl,42,eval,3,0.7567522921459747
standard_moderate,baseline_rl,42,eval,4,0.23486567445914275
standard_moderate,baseline_rl,42,eval,5,0.9394919149577619
standard_moderate,baseline_rl,43,train,0,0.4598722677354816
standard_moderate,baseline_rl,43,train,1,-1.4801683260164278
standard_moderate,baseline_rl,43,train,2,1.06068088457454
standard_moderate,baseline_rl,43,train,3,1.1985252858500461
standard_moderate,baseline_rl,43,train,4,-1.4575016955984754
standard_moderate,baseline_rl,43,train,5,-1.6449575108218897
standard_moderate,baseline_rl,43,train,6,0.7779538974544268
standard_moderate,baseline_rl,43,train,7,0.06262542245123767
standard_moderate,baseline_rl,43,train,8,1.0278638601355485
standard_moderate,baseline_rl,43,train,9,0.6187566003610845
standard_moderate,baseline_rl,43,train,10,0.195858785785822
standard_moderate,baseline_rl,43,train,11,1.36596750190045
standard_moderate,baseline_rl,43,train,12,0.7867708404708538
standard_moderate,baseline_rl,43,train,13,0.1949574557191227
standard_moderate,baseline_rl,43,train,14,0.7464094378161829
standard_moderate,baseline_rl,43,train,15,0.6245361793399204
standard_moderate,baseline_rl,43,train,16,0.131463947701559
standard_moderate,baseline_rl,43,train,17,1.6994288836186753
standard_moderate,baseline_rl,43,train,18,1.1863388026872417
standard_moderate,baseline_rl,43,train,19,0.14554931636143015
standard_moderate,baseline_rl,43,eval,0,1.4867541733733383
standard_moderate,baseline_rl,43,eval,1,0.6576455088425428
standard_moderate,baseline_rl,43,eval,2,1.6199999911338105
standard_moderate,baseline_rl,43,eval,3,1.2075438656541517
standard_moderate,baseline_rl,43,eval,4,0.6637172908615322
standard_moderate,baseline_rl,43,eval,5,1.8986666536517447
standard_moderate,baseline_rl,44,train,0,0.8916661082860083
standard_moderate,baseline_rl,44,train,1,0.16337310724862628
standard_moderate,baseline_rl,44,train,2,9.36122645930067
standard_moderate,baseline_rl,44,train,3,0.8807563384514652
standard_moderate,baseline_rl,44,train,4,-2.2148752945322485
standard_moderate,baseline_rl,44,train,5,1.3072515272535383
standard_moderate,baseline_rl,44,train,6,0.6552303792349996
standard_moderate,baseline_rl,44,train,7,0.206556638803304
standard_moderate,baseline_rl,44,train,8,0.8034299044124782
standard_moderate,baseline_rl,44,train,9,0.9899590826759234
standard_moderate,baseline_rl,44,train,10,0.22939812136348345
standard_moderate,baseline_rl,44,train,11,0.8776119243781433
standard_moderate,baseline_rl,44,train,12,0.8041398732172093
standard_moderate,baseline_rl,44,train,13,0.1471889572127839
standard_moderate,baseline_rl,44,train,14,0.7359949158344535
standard_moderate,baseline_rl,44,train,15,1.2689889531975498
standard_moderate,baseline_rl,44,train,16,0.1478648377838545
standard_moderate,baseline_rl,44,train,17,0.993503949904698
standard_moderate,baseline_rl,44,train,18,0.9485343500706948
standard_moderate,baseline_rl,44,train,19,0.10377303848203162
standard_moderate,baseline_rl,44,eval,0,0.9953495167366053
standard_moderate,baseline_rl,44,eval,1,0.0035419534477115697
