scenario,method,seed,stage,usage_rate
standard_moderate,baseline_rl,42,middle,0.8818181818181818
standard_moderate,baseline_rl,42,late,0.11818181818181818
standard_moderate,baseline_rl,43,middle,0.8958333333333334
standard_moderate,baseline_rl,43,late,0.10416666666666667
standard_moderate,baseline_rl,44,middle,1.0
standard_moderate,single_shot_llm,42,middle,0.7666666666666667
standard_moderate,single_shot_llm,42,late,0.23333333333333334
standard_moderate,single_shot_llm,43,middle,0.8778280542986425
standard_moderate,single_shot_llm,43,late,0.12217194570135746
standard_moderate,single_shot_llm,44,middle,0.8651162790697674
standard_moderate,single_shot_llm,44,late,0.13488372093023257
standard_moderate,full_outer_loop,42,middle,0.7666666666666667
standard_moderate,full_outer_loop,42,late,0.23333333333333334
standard_moderate,full_outer_loop,43,middle,0.8833333333333333
standard_moderate,full_outer_loop,43,late,0.11666666666666667
standard_moderate,full_outer_loop,44,middle,0.9036697247706422
standard_moderate,full_outer_loop,44,late,0.0963302752293578
resource_moderate,baseline_rl,42,middle,1.0
resource_moderate,baseline_rl,43,middle,1.0
resource_moderate,baseline_rl,44,middle,1.0
resource_moderate,full_outer_loop,42,middle,1.0
resource_moderate,full_outer_loop,43,middle,1.0
resource_moderate,full_outer_loop,44,middle,1.0
resource_moderate,single_shot_llm,43,middle,1.0
resource_moderate,single_shot_llm,44,middle,1.0
