scenario,method,seed,zone,layer,recovery_ratio
standard_moderate,baseline_rl,42,A,power,0.8567781647046407
standard_moderate,baseline_rl,42,A,communication,0.5933333237965902
standard_moderate,baseline_rl,42,A,road,0.5632172177235285
standard_moderate,baseline_rl,42,A,critical_load,0.8025002479553223
standard_moderate,baseline_rl,42,B,power,0.7563109795252482
standard_moderate,baseline_rl,42,B,communication,0.6133333444595337
standard_moderate,baseline_rl,42,B,road,0.6834952880938848
standard_moderate,baseline_rl,42,B,critical_load,0.7072188357512156
standard_moderate,baseline_rl,42,C,power,0.8587272961934408
standard_moderate,baseline_rl,42,C,communication,0.5966666539510092
standard_moderate,baseline_rl,42,C,road,0.5500000019868215
standard_moderate,baseline_rl,42,C,critical_load,0.6522946308056513
standard_moderate,baseline_rl,43,A,power,0.8929315606753031
standard_moderate,baseline_rl,43,A,communication,0.9734070897102356
standard_moderate,baseline_rl,43,A,road,0.5596521099408468
standard_moderate,baseline_rl,43,A,critical_load,0.9188881814479828
standard_moderate,baseline_rl,43,B,power,0.6423710882663727
standard_moderate,baseline_rl,43,B,communication,0.6196306745211283
standard_moderate,baseline_rl,43,B,road,0.5729854305585226
standard_moderate,baseline_rl,43,B,critical_load,0.6733406980832418
standard_moderate,baseline_rl,43,C,power,0.6395656963189443
standard_moderate,baseline_rl,43,C,communication,0.6028989950815836
standard_moderate,baseline_rl,43,C,road,0.5563187797864279
standard_moderate,baseline_rl,43,C,critical_load,0.6997214953104655
standard_moderate,baseline_rl,44,A,power,0.9991865754127502
standard_moderate,baseline_rl,44,A,communication,0.5933333237965902
standard_moderate,baseline_rl,44,A,road,0.5533333321412405
standard_moderate,baseline_rl,44,A,critical_load,0.9864257474740347
standard_moderate,baseline_rl,44,B,power,0.6366666754086813
standard_moderate,baseline_rl,44,B,communication,0.6133333444595337
standard_moderate,baseline_rl,44,B,road,0.5666666527589163
standard_moderate,baseline_rl,44,B,critical_load,0.7604316274325053
standard_moderate,baseline_rl,44,C,power,0.5866666634877523
standard_moderate,baseline_rl,44,C,communication,0.5966666539510092
standard_moderate,baseline_rl,44,C,road,0.5500000019868215
standard_moderate,baseline_rl,44,C,critical_load,0.7546939452489217
standard_moderate,single_shot_llm,42,A,power,0.5833333432674408
standard_moderate,single_shot_llm,42,A,communication,0.6580786406993866
standard_moderate,single_shot_llm,42,A,road,0.5533333321412405
standard_moderate,single_shot_llm,42,A,critical_load,0.6533333460489908
standard_moderate,single_shot_llm,42,B,power,1.0
standard_moderate,single_shot_llm,42,B,communication,0.7915106217066447
standard_moderate,single_shot_llm,42,B,road,0.5666666527589163
standard_moderate,single_shot_llm,42,B,critical_load,1.0
standard_moderate,single_shot_llm,42,C,power,0.6133333444595337
standard_moderate,single_shot_llm,42,C,communication,0.5966666539510092
standard_moderate,single_shot_llm,42,C,road,0.8755635221799215
standard_moderate,single_shot_llm,42,C,critical_load,0.6700000166893005
standard_moderate,single_shot_llm,43,A,power,0.8131892085075378
standard_moderate,single_shot_llm,43,A,communication,0.6450373927752177
standard_moderate,single_shot_llm,43,A,road,0.5533333321412405
standard_moderate,single_shot_llm,43,A,critical_load,0.6694271465142568
standard_moderate,single_shot_llm,43,B,power,0.6155904531478882
standard_moderate,single_shot_llm,43,B,communication,0.8345046738783518
standard_moderate,single_shot_llm,43,B,road,0.5666666527589163
standard_moderate,single_shot_llm,43,B,critical_load,0.6436183800299963
standard_moderate,single_shot_llm,43,C,power,0.9999447067578634
standard_moderate,single_shot_llm,43,C,communication,0.5966666539510092
standard_moderate,single_shot_llm,43,C,road,0.5500000019868215
standard_moderate,single_shot_llm,43,C,critical_load,1.0
standard_moderate,single_shot_llm,44,A,power,0.9049915870030721
standard_moderate,single_shot_llm,44,A,communication,0.5933333237965902
standard_moderate,single_shot_llm,44,A,road,0.5533333321412405
standard_moderate,single_shot_llm,44,A,critical_load,0.6677187432845434
standard_moderate,single_shot_llm,44,B,power,0.6099999944368998
standard_moderate,single_shot_llm,44,B,communication,0.8688725332419077
standard_moderate,single_shot_llm,44,B,road,0.5666666527589163
standard_moderate,single_shot_llm,44,B,critical_load,0.6433333257834116
