scenario,rejection_reason,count
resource_moderate,constraint_violation_not_allowed,10
resource_moderate,critical_recovery_too_low_vs_reference,26
resource_moderate,generated_not_competitive_vs_baseline_tolerance,18
resource_moderate,invalid_action_not_allowed,10
resource_moderate,multi_layer_recovery_regression,26
resource_moderate,no_final_progress_and_not_late_stage,27
resource_moderate,not_finish_oriented_under_zero_success,12
resource_moderate,progress_delta_too_low_vs_reference,26
resource_moderate,resource_sustainability_collapse,18
resource_moderate,under_recovery_below_floor,2
resource_moderate,wait_hold_overuse_with_low_progress,2
standard_severe,constraint_violation_not_allowed,11
standard_severe,critical_recovery_too_low_vs_reference,14
standard_severe,generated_not_competitive_vs_baseline_tolerance,17
standard_severe,invalid_action_not_allowed,11
standard_severe,multi_layer_recovery_regression,12
standard_severe,no_final_progress_and_not_late_stage,17
standard_severe,not_finish_oriented_under_zero_success,12
standard_severe,progress_delta_too_low_vs_reference,12
standard_severe,resource_sustainability_collapse,18
