scenario,method,seed,out_path,exists,status,trace_rows
resource_moderate,baseline_rl,42,paper_final_trajectory_exports_v1/raw_reruns/resource_moderate/baseline_rl__seed42.json,True,ok,240.0
resource_moderate,baseline_rl,43,paper_final_trajectory_exports_v1/raw_reruns/resource_moderate/baseline_rl__seed43.json,True,ok,240.0
resource_moderate,baseline_rl,44,paper_final_trajectory_exports_v1/raw_reruns/resource_moderate/baseline_rl__seed44.json,True,ok,240.0
resource_moderate,full_outer_loop,42,paper_final_trajectory_exports_v1/raw_reruns/resource_moderate/full_outer_loop__seed42.json,False,missing,
resource_moderate,full_outer_loop,43,paper_final_trajectory_exports_v1/raw_reruns/resource_moderate/full_outer_loop__seed43.json,False,missing,
resource_moderate,full_outer_loop,44,paper_final_trajectory_exports_v1/raw_reruns/resource_moderate/full_outer_loop__seed44.json,False,missing,
resource_moderate,single_shot_llm,42,paper_final_trajectory_exports_v1/raw_reruns/resource_moderate/single_shot_llm__seed42.json,False,missing,
resource_moderate,single_shot_llm,43,paper_final_trajectory_exports_v1/raw_reruns/resource_moderate/single_shot_llm__seed43.json,False,missing,
resource_moderate,single_shot_llm,44,paper_final_trajectory_exports_v1/raw_reruns/resource_moderate/single_shot_llm__seed44.json,False,missing,
resource_moderate,ablation_fixed_global,42,paper_final_trajectory_exports_v1/raw_reruns/resource_moderate/ablation_fixed_global__seed42.json,False,missing,
resource_moderate,ablation_fixed_global,43,paper_final_trajectory_exports_v1/raw_reruns/resource_moderate/ablation_fixed_global__seed43.json,False,missing,
resource_moderate,ablation_fixed_global,44,paper_final_trajectory_exports_v1/raw_reruns/resource_moderate/ablation_fixed_global__seed44.json,False,missing,
standard_severe,baseline_rl,42,paper_final_trajectory_exports_v1/raw_reruns/standard_severe/baseline_rl__seed42.json,True,ok,240.0
standard_severe,baseline_rl,43,paper_final_trajectory_exports_v1/raw_reruns/standard_severe/baseline_rl__seed43.json,True,ok,240.0
standard_severe,baseline_rl,44,paper_final_trajectory_exports_v1/raw_reruns/standard_severe/baseline_rl__seed44.json,True,ok,240.0
standard_severe,full_outer_loop,42,paper_final_trajectory_exports_v1/raw_reruns/standard_severe/full_outer_loop__seed42.json,False,missing,
standard_severe,full_outer_loop,43,paper_final_trajectory_exports_v1/raw_reruns/standard_severe/full_outer_loop__seed43.json,False,missing,
standard_severe,full_outer_loop,44,paper_final_trajectory_exports_v1/raw_reruns/standard_severe/full_outer_loop__seed44.json,False,missing,
standard_severe,single_shot_llm,42,paper_final_trajectory_exports_v1/raw_reruns/standard_severe/single_shot_llm__seed42.json,False,missing,
standard_severe,single_shot_llm,43,paper_final_trajectory_exports_v1/raw_reruns/standard_severe/single_shot_llm__seed43.json,False,missing,
standard_severe,single_shot_llm,44,paper_final_trajectory_exports_v1/raw_reruns/standard_severe/single_shot_llm__seed44.json,False,missing,
standard_severe,ablation_fixed_global,42,paper_final_trajectory_exports_v1/raw_reruns/standard_severe/ablation_fixed_global__seed42.json,False,missing,
standard_severe,ablation_fixed_global,43,paper_final_trajectory_exports_v1/raw_reruns/standard_severe/ablation_fixed_global__seed43.json,False,missing,
standard_severe,ablation_fixed_global,44,paper_final_trajectory_exports_v1/raw_reruns/standard_severe/ablation_fixed_global__seed44.json,False,missing,
