scenario,method,step,mean_progress_delta,std_progress_delta,n_seeds
standard_severe,baseline_rl,0,0.0034999946753184,0.0,3
standard_severe,baseline_rl,1,0.0034999946753184,0.0,3
standard_severe,baseline_rl,2,0.0035000012980567086,5.735459617806259e-09,3
standard_severe,baseline_rl,3,0.005275451474719577,5.7354596178375575e-09,3
standard_severe,baseline_rl,4,0.0035000046094258628,0.0,3
standard_severe,baseline_rl,5,0.0035000261333253645,2.8677298089187787e-09,3
standard_severe,baseline_rl,6,0.003500002953741286,2.8677298089187787e-09,3
standard_severe,baseline_rl,7,0.0034999847412109375,0.0,3
standard_severe,baseline_rl,8,0.010210706128014458,5.7354596183383285e-09,3
standard_severe,baseline_rl,9,0.007199411590894063,0.0004376012301792251,3
standard_severe,baseline_rl,10,0.006380534834331937,0.001855610456483833,3
standard_severe,baseline_rl,11,0.008306259910265604,0.00017153899397510225,3
standard_severe,baseline_rl,12,0.007282417681482104,0.00029712261776361807,3
standard_severe,baseline_rl,13,0.009338463346163431,0.0015000779179738563,3
standard_severe,baseline_rl,14,0.004877607027689616,0.00021459795705476448,3
standard_severe,baseline_rl,15,0.009636213382085165,0.001526928472173982,3
standard_severe,baseline_rl,16,0.004573480950461493,6.585454807937027e-05,3
standard_severe,baseline_rl,17,0.0035016205575731066,0.0007678080612089437,3
standard_severe,baseline_rl,18,0.005030088954501682,0.002969299063221263,3
standard_severe,baseline_rl,19,0.002634909417894151,0.0022910262337605663,3
standard_severe,baseline_rl,20,0.0040720899899800616,0.0014900687803590263,3
standard_severe,baseline_rl,21,0.0024642282062106663,0.0021340842273005955,3
standard_severe,baseline_rl,22,0.003119933936331007,0.0018998207156039465,3
standard_severe,baseline_rl,23,0.00505578683482276,0.0031533929782828285,3
standard_severe,baseline_rl,24,0.002185861269632975,0.001349431288489099,3
standard_severe,baseline_rl,25,0.004914469189114041,0.003507597197589655,3
standard_severe,baseline_rl,26,0.0014461874961853027,0.0004901703756975666,3
standard_severe,baseline_rl,27,0.0013749516672558256,0.00036834866666182866,3
standard_severe,baseline_rl,28,0.005060738987392849,0.0033723720715613708,3
standard_severe,baseline_rl,29,0.0009768108526865642,0.001689958882316394,3
standard_severe,baseline_rl,30,0.005023701323403252,0.0035546627348241365,3
standard_severe,baseline_rl,31,0.0011821786562601726,0.0014211238948587102,3
standard_severe,baseline_rl,32,0.0019020504421657985,0.0007408692306311893,3
standard_severe,baseline_rl,33,0.00569506651825375,0.0025075861818901115,3
standard_severe,baseline_rl,34,0.00025772717263963487,0.0004525704149254307,3
standard_severe,baseline_rl,35,0.005236715078353882,0.003341071259549219,3
standard_severe,baseline_rl,36,0.0006097555160522461,0.0010288565371794948,3
standard_severe,baseline_rl,37,0.0012361705303192139,0.00012718005548756453,3
standard_severe,baseline_rl,38,0.004114892747667101,0.0017448788069659629,3
standard_severe,baseline_rl,39,0.0023808876673380532,0.0013829095769105142,3
