file,rows,bytes
candidate_diagnostics/candidate_rejection_reason_summary.csv,9,2228
candidate_diagnostics/candidate_selection_summary.csv,18,3086
candidate_diagnostics/candidate_source_share.csv,7,447
diagnostics/rerun_status.csv,27,39100
diagnostics/step_level_trace_sample.csv,6306,1098392
diagnostics/v6_comparison_summary.csv,54,6190
final_tables/figure_ready_metrics.csv,132,12535
final_tables/resource_moderate_summary.csv,3,1988
final_tables/robustness_stress_summary.csv,3,1940
final_tables/standard_moderate_summary.csv,3,2031
final_tables/standard_severe_summary.csv,3,1896
manifest/export_manifest.csv,26,1520
manifest/process_file_inventory.csv,6,662
mechanism_exports/resource_moderate_action_category_share.csv,12,739
mechanism_exports/resource_moderate_stage_share.csv,3,184
mechanism_exports/standard_moderate_action_category_share.csv,17,1092
mechanism_exports/standard_moderate_stage_share.csv,6,408
mechanism_exports/standard_severe_action_category_share.csv,15,929
mechanism_exports/standard_severe_stage_share.csv,6,369
per_seed/resource_moderate_per_seed.csv,9,4012
per_seed/standard_moderate_per_seed.csv,9,4198
per_seed/standard_severe_per_seed.csv,9,3928
process_exports/resource_moderate_mean_cumulative_progress.csv,120,9609
process_exports/resource_moderate_mean_stepwise_progress.csv,120,9348
process_exports/standard_moderate_mean_cumulative_progress.csv,120,9380
process_exports/standard_moderate_mean_stepwise_progress.csv,120,9525
process_exports/standard_severe_mean_cumulative_progress.csv,120,9016
process_exports/standard_severe_mean_stepwise_progress.csv,120,9322
