scenario,method,action_category,mean_usage_share,n_seeds
standard_moderate,baseline_rl,comm,0.2647352252941633,3
standard_moderate,baseline_rl,coordinated,0.16100631023277992,3
standard_moderate,baseline_rl,feeder,0.10483547925608011,2
standard_moderate,baseline_rl,mes,0.3235251540591395,3
standard_moderate,baseline_rl,wait,0.18084299090986386,3
standard_moderate,full_outer_loop,comm,0.2197802636039162,3
standard_moderate,full_outer_loop,coordinated,0.12808568124264721,3
standard_moderate,full_outer_loop,feeder,0.09235508763534127,3
standard_moderate,full_outer_loop,mes,0.33311449422743317,3
standard_moderate,full_outer_loop,road,0.1615720524017467,1
standard_moderate,full_outer_loop,wait,0.17280712249007993,3
standard_moderate,single_shot_llm,comm,0.2197802636039162,3
standard_moderate,single_shot_llm,coordinated,0.12808568124264721,3
standard_moderate,single_shot_llm,feeder,0.09235508763534127,3
standard_moderate,single_shot_llm,mes,0.33311449422743317,3
standard_moderate,single_shot_llm,road,0.1615720524017467,1
standard_moderate,single_shot_llm,wait,0.17280712249007993,3
