scenario,method,step,mean_cumulative_progress,std_cumulative_progress,n_seeds
standard_moderate,baseline_rl,0,0.004446638955010309,0.0016396531954996811,3
standard_moderate,baseline_rl,1,0.008906291590796577,0.003301829540932898,3
standard_moderate,baseline_rl,2,0.013379077116648356,0.004986752719179907,3
standard_moderate,baseline_rl,3,0.017865171035130818,0.006694726709645282,3
standard_moderate,baseline_rl,4,0.02232613497310214,0.008359191503451003,3
standard_moderate,baseline_rl,5,0.026799986759821575,0.010045978706088704,3
standard_moderate,baseline_rl,6,0.024402779009607103,0.0001683916605282192,3
standard_moderate,baseline_rl,7,0.027125012543466356,0.0007716769175353678,3
standard_moderate,baseline_rl,8,0.03230041099919213,0.0020435609049259213,3
standard_moderate,baseline_rl,9,0.04286464552084605,0.0018355650153731883,3
standard_moderate,baseline_rl,10,0.05318241483635373,0.0016811550180917112,3
standard_moderate,baseline_rl,11,0.05847343305746714,0.002830065827945689,3
standard_moderate,baseline_rl,12,0.0637064493364758,0.004085608650752377,3
standard_moderate,baseline_rl,13,0.06803027623229557,0.00514447578849181,3
standard_moderate,baseline_rl,14,0.0737416214413113,0.006563080867062875,3
standard_moderate,baseline_rl,15,0.07913720607757568,0.00776546300240761,3
standard_moderate,baseline_rl,16,0.08130453858110641,0.008152113429255677,3
standard_moderate,baseline_rl,17,0.08584345214896733,0.009423867283658738,3
standard_moderate,baseline_rl,18,0.0912164035770628,0.01071299172171446,3
standard_moderate,baseline_rl,19,0.09538959629005855,0.011654315726368223,3
standard_moderate,baseline_rl,20,0.09811313450336456,0.012500144592053718,3
standard_moderate,baseline_rl,21,0.10040542814466687,0.012880148892225428,3
standard_moderate,baseline_rl,22,0.10040295786327785,0.012882286963834874,3
standard_moderate,baseline_rl,23,0.1027027037408617,0.013313321043106206,3
standard_moderate,baseline_rl,24,0.10310844580332439,0.012945230286852218,3
standard_moderate,baseline_rl,25,0.10599816507763334,0.013490804918321683,3
standard_moderate,baseline_rl,26,0.10888183613618214,0.013341332978395442,3
standard_moderate,baseline_rl,27,0.10888183613618214,0.013341332978395442,3
standard_moderate,baseline_rl,28,0.11179305778609382,0.013430305138173846,3
standard_moderate,baseline_rl,29,0.11179305778609382,0.013430305138173846,3
standard_moderate,baseline_rl,30,0.11415961384773254,0.014177800281533618,3
standard_moderate,baseline_rl,31,0.11641236477428013,0.013927060998831167,3
standard_moderate,baseline_rl,32,0.12190560367372301,0.013172809734308283,3
standard_moderate,baseline_rl,33,0.12708281642860836,0.014414253371680194,3
standard_moderate,baseline_rl,34,0.12943515015972987,0.013716036356885532,3
standard_moderate,baseline_rl,35,0.13247052331765494,0.008576956665601185,3
standard_moderate,baseline_rl,36,0.13429404298464456,0.009440940258054135,3
standard_moderate,baseline_rl,37,0.13577769398689268,0.009559583819483875,3
standard_moderate,baseline_rl,38,0.14139812688032785,0.003680688396242878,3
standard_moderate,baseline_rl,39,0.14287792642911276,0.004756057429871208,3
standard_moderate,full_outer_loop,0,0.0034999847412109375,0.0,3
standard_moderate,full_outer_loop,1,0.006999982727898491,1.1470919235424729e-08,3
standard_moderate,full_outer_loop,2,0.01049996746910943,1.1470919234923957e-08,3
standard_moderate,full_outer_loop,3,0.013999968767166138,0.0,3
standard_moderate,full_outer_loop,4,0.017499953508377075,0.0,3
standard_moderate,full_outer_loop,5,0.020999938249588013,0.0,3
standard_moderate,full_outer_loop,6,0.024402783976660833,0.00016839596217787208,3
standard_moderate,full_outer_loop,7,0.02722223268614875,0.0007340084811699042,3
standard_moderate,full_outer_loop,8,0.032047172387441,0.0013783512762222472,3
standard_moderate,full_outer_loop,9,0.04287088248464796,0.001613129008394279,3
standard_moderate,full_outer_loop,10,0.0508405069510142,0.0016232303118058225,3
standard_moderate,full_outer_loop,11,0.05560382869508531,0.0021445281440069016,3
standard_moderate,full_outer_loop,12,0.06162193086412218,0.0012911432659013116,3
standard_moderate,full_outer_loop,13,0.06570849153730604,0.0008217413237618282,3
standard_moderate,full_outer_loop,14,0.07055199146270752,0.0008675043784315775,3
standard_moderate,full_outer_loop,15,0.07500076625082229,0.0011000839911903396,3
standard_moderate,full_outer_loop,16,0.07666916648546855,0.0014621640133059524,3
standard_moderate,full_outer_loop,17,0.0807068149248759,0.0013549686834230714,3
standard_moderate,full_outer_loop,18,0.08525964617729187,0.002140188661546118,3
standard_moderate,full_outer_loop,19,0.08939382433891296,0.0026609783281331956,3
standard_moderate,full_outer_loop,20,0.09048610263400607,0.003587388293240542,3
standard_moderate,full_outer_loop,21,0.09145870473649768,0.004467741963965426,3
standard_moderate,full_outer_loop,22,0.09196592701805963,0.004944630443086491,3
standard_moderate,full_outer_loop,23,0.09359864393870036,0.006447442235115612,3
standard_moderate,full_outer_loop,24,0.09432654910617404,0.006770014879904989,3
standard_moderate,full_outer_loop,25,0.09512199295891656,0.006377063122114398,3
standard_moderate,full_outer_loop,26,0.09710015522109137,0.008049920709965486,3
standard_moderate,full_outer_loop,27,0.10026283926433988,0.01102562240810914,3
standard_moderate,full_outer_loop,28,0.10184125900268555,0.012437453437184292,3
standard_moderate,full_outer_loop,29,0.10227712127897474,0.012678616006738587,3
standard_moderate,full_outer_loop,30,0.10335026118490431,0.013531210095462778,3
standard_moderate,full_outer_loop,31,0.10446011622746786,0.014461273895489414,3
standard_moderate,full_outer_loop,32,0.10995804932382373,0.01941137601114895,3
standard_moderate,full_outer_loop,33,0.11118799116876389,0.020323938636097494,3
standard_moderate,full_outer_loop,34,0.11604719989829593,0.02345286145927341,3
standard_moderate,full_outer_loop,35,0.12211356891526116,0.029310666434456047,3
standard_moderate,full_outer_loop,36,0.12241008381048839,0.02945810228250879,3
standard_moderate,full_outer_loop,37,0.12407024204730988,0.0310613621335349,3
