scenario,method,action_category,mean_usage_share,std_usage_share,n_seeds
resource_moderate,rule_based_greedy,comm,0.3597222222222222,0.02265209226430569,3
resource_moderate,rule_based_greedy,coordinated,0.03888888888888889,0.005196746370519362,3
resource_moderate,rule_based_greedy,feeder,0.0125,0.004166666666666667,2
resource_moderate,rule_based_greedy,mes,0.13194444444444445,0.007081971546656642,3
resource_moderate,rule_based_greedy,power,0.07222222222222223,0.007081971546656644,3
resource_moderate,rule_based_greedy,road,0.35000000000000003,0.015590239111558102,3
resource_moderate,rule_based_greedy,wait,0.03888888888888889,0.019641855032959652,3
standard_moderate,rule_based_greedy,comm,0.24031007751937983,0.015259705182193446,3
standard_moderate,rule_based_greedy,coordinated,0.22093023255813957,2.7755575615628914e-17,3
standard_moderate,rule_based_greedy,mes,0.22480620155038758,0.01194653876544375,3
standard_moderate,rule_based_greedy,power,0.02131782945736434,0.010962895832349573,3
standard_moderate,rule_based_greedy,road,0.25775193798449614,0.007251274005375844,3
standard_moderate,rule_based_greedy,wait,0.03488372093023256,0.018988292579714558,3
standard_severe,rule_based_greedy,comm,0.25887478121283036,0.029018780118852,3
standard_severe,rule_based_greedy,coordinated,0.1601430752584885,0.007174511830053252,3
standard_severe,rule_based_greedy,mes,0.2450953530625906,0.0044293016988236735,3
standard_severe,rule_based_greedy,power,0.01564200670678705,0.005476037422986036,3
standard_severe,rule_based_greedy,road,0.23794749967497544,0.00818647688573649,3
standard_severe,rule_based_greedy,wait,0.08229728408432802,0.014860404977471176,3
