scenario,method,step,mean_cumulative_progress,std_cumulative_progress,n_seeds
resource_moderate,rule_based_greedy,0,0.0055256982644399,0.0028647493912878205,3
resource_moderate,rule_based_greedy,1,0.009025702873865763,0.0028647774891868267,3
resource_moderate,rule_based_greedy,2,0.01461338996887207,0.0029095868365935505,3
resource_moderate,rule_based_greedy,3,0.02010473608970642,0.00011962675470127761,3
resource_moderate,rule_based_greedy,4,0.025829543670018513,0.003129044905398568,3
resource_moderate,rule_based_greedy,5,0.029314655396673415,0.003166736205639169,3
resource_moderate,rule_based_greedy,6,0.03267332249217563,0.0033393577225731383,3
resource_moderate,rule_based_greedy,7,0.03578296138180627,0.0036735242756963994,3
resource_moderate,rule_based_greedy,8,0.038975007004208036,0.004162311477984444,3
resource_moderate,rule_based_greedy,9,0.04187445342540741,0.004626524713307991,3
resource_moderate,rule_based_greedy,10,0.044112627704938255,0.005509988481175843,3
resource_moderate,rule_based_greedy,11,0.04642561078071594,0.00632704566095854,3
resource_moderate,rule_based_greedy,12,0.048945589198006526,0.0071812143762746234,3
resource_moderate,rule_based_greedy,13,0.05173842443360223,0.007069481677806859,3
resource_moderate,rule_based_greedy,14,0.054324681560198464,0.007099384247938241,3
resource_moderate,rule_based_greedy,15,0.05687034295664893,0.007472398010399778,3
resource_moderate,rule_based_greedy,16,0.05947107904487186,0.007444358990575846,3
resource_moderate,rule_based_greedy,17,0.062114528483814664,0.007793932127614489,3
resource_moderate,rule_based_greedy,18,0.06471390856636895,0.00807535426021008,3
resource_moderate,rule_based_greedy,19,0.06730327010154724,0.008601645774048452,3
resource_moderate,rule_based_greedy,20,0.06973887814415826,0.009291885027358684,3
resource_moderate,rule_based_greedy,21,0.07267634570598602,0.008804204038259218,3
resource_moderate,rule_based_greedy,22,0.075278393096394,0.009145442975242451,3
resource_moderate,rule_based_greedy,23,0.07818923062748379,0.009334042462905116,3
resource_moderate,rule_based_greedy,24,0.08058741026454502,0.009984081872535975,3
resource_moderate,rule_based_greedy,25,0.08317169215944079,0.010374335909191477,3
resource_moderate,rule_based_greedy,26,0.08611432711283366,0.010502605915039901,3
resource_moderate,rule_based_greedy,27,0.08849012851715088,0.011084312707802432,3
resource_moderate,rule_based_greedy,28,0.09114730026986864,0.01135699516684675,3
resource_moderate,rule_based_greedy,29,0.09440748227967156,0.011077734702623273,3
resource_moderate,rule_based_greedy,30,0.09698458843761021,0.011406448386073895,3
resource_moderate,rule_based_greedy,31,0.09953358107142979,0.011768334102066624,3
