scenario,method,metric,mean,std,n_valid,evidence_level
standard_moderate,baseline_rl,min_recovery_ratio,0.5728520866897371,,3,per_seed_n3
standard_moderate,baseline_rl,critical_load_recovery_ratio,0.7728350493643019,,3,per_seed_n3
standard_moderate,baseline_rl,invalid_action_rate_eval,0.05416666666666667,,3,per_seed_n3
standard_moderate,baseline_rl,constraint_violation_rate_eval,0.05416666666666667,,3,per_seed_n3
standard_moderate,baseline_rl,safety_capacity_index,0.7547404976189137,,3,per_seed_n3
standard_moderate,single_shot_llm,min_recovery_ratio,0.5928403900729285,,3,per_seed_n3
standard_moderate,single_shot_llm,critical_load_recovery_ratio,0.7719367841879526,,3,per_seed_n3
standard_moderate,single_shot_llm,invalid_action_rate_eval,0.0,,3,per_seed_n3
standard_moderate,single_shot_llm,constraint_violation_rate_eval,0.0,,3,per_seed_n3
standard_moderate,single_shot_llm,safety_capacity_index,0.7776720109913084,,3,per_seed_n3
standard_moderate,full_outer_loop,min_recovery_ratio,0.6503631704383426,,3,per_seed_n3
standard_moderate,full_outer_loop,critical_load_recovery_ratio,0.7815036508772109,,3,per_seed_n3
standard_moderate,full_outer_loop,invalid_action_rate_eval,0.0,,3,per_seed_n3
standard_moderate,full_outer_loop,constraint_violation_rate_eval,0.0,,3,per_seed_n3
standard_moderate,full_outer_loop,safety_capacity_index,0.8011533874604437,,3,per_seed_n3
resource_moderate,baseline_rl,min_recovery_ratio,0.4317491551240285,,3,per_seed_n3
resource_moderate,baseline_rl,critical_load_recovery_ratio,0.6557930575476753,,3,per_seed_n3
resource_moderate,baseline_rl,invalid_action_rate_eval,0.044444444444444446,,3,per_seed_n3
resource_moderate,baseline_rl,constraint_violation_rate_eval,0.044444444444444446,,3,per_seed_n3
resource_moderate,baseline_rl,safety_capacity_index,0.667306441101763,,3,per_seed_n3
resource_moderate,single_shot_llm,min_recovery_ratio,0.5891419351100922,,2,valid_seed_n2
resource_moderate,single_shot_llm,critical_load_recovery_ratio,0.9178647249937057,,2,valid_seed_n2
resource_moderate,single_shot_llm,invalid_action_rate_eval,0.0,,2,valid_seed_n2
resource_moderate,single_shot_llm,constraint_violation_rate_eval,0.0,,2,valid_seed_n2
resource_moderate,single_shot_llm,safety_capacity_index,0.8274523310363293,,2,valid_seed_n2
resource_moderate,full_outer_loop,min_recovery_ratio,0.45675336983468795,,3,per_seed_n3
resource_moderate,full_outer_loop,critical_load_recovery_ratio,0.6770832141240438,,3,per_seed_n3
resource_moderate,full_outer_loop,invalid_action_rate_eval,0.0,,3,per_seed_n3
resource_moderate,full_outer_loop,constraint_violation_rate_eval,0.0,,3,per_seed_n3
resource_moderate,full_outer_loop,safety_capacity_index,0.6968428043855561,,3,per_seed_n3
resource_moderate,ablation_fixed_global,min_recovery_ratio,0.5891944567362467,,1,aggregate_only_n1
resource_moderate,ablation_fixed_global,critical_load_recovery_ratio,0.9010915524429746,,1,aggregate_only_n1
resource_moderate,ablation_fixed_global,invalid_action_rate_eval,0.0,,1,aggregate_only_n1
resource_moderate,ablation_fixed_global,constraint_violation_rate_eval,0.0,,1,aggregate_only_n1
resource_moderate,ablation_fixed_global,safety_capacity_index,0.8216001032127275,,1,aggregate_only_n1
standard_severe,baseline_rl,min_recovery_ratio,0.5867565506034428,,1,aggregate_only_n1
standard_severe,baseline_rl,critical_load_recovery_ratio,0.8495023283693525,,1,aggregate_only_n1
standard_severe,baseline_rl,invalid_action_rate_eval,0.08055555555555556,,1,aggregate_only_n1
standard_severe,baseline_rl,constraint_violation_rate_eval,0.08055555555555556,,1,aggregate_only_n1
standard_severe,baseline_rl,safety_capacity_index,0.7785239409738117,,1,aggregate_only_n1
standard_severe,single_shot_llm,min_recovery_ratio,0.6191268596384261,,1,aggregate_only_n1
standard_severe,single_shot_llm,critical_load_recovery_ratio,0.8685031467013888,,1,aggregate_only_n1
standard_severe,single_shot_llm,invalid_action_rate_eval,0.0,,1,aggregate_only_n1
standard_severe,single_shot_llm,constraint_violation_rate_eval,0.0,,1,aggregate_only_n1
standard_severe,single_shot_llm,safety_capacity_index,0.8206705022189352,,1,aggregate_only_n1
standard_severe,full_outer_loop,min_recovery_ratio,0.6171037091149224,,1,aggregate_only_n1
standard_severe,full_outer_loop,critical_load_recovery_ratio,0.8640084432231054,,1,aggregate_only_n1
standard_severe,full_outer_loop,invalid_action_rate_eval,0.0,,1,aggregate_only_n1
standard_severe,full_outer_loop,constraint_violation_rate_eval,0.0,,1,aggregate_only_n1
standard_severe,full_outer_loop,safety_capacity_index,0.8183892533183098,,1,aggregate_only_n1
standard_severe,ablation_fixed_global,min_recovery_ratio,0.6227408614423541,,1,aggregate_only_n1
standard_severe,ablation_fixed_global,critical_load_recovery_ratio,0.8770474592844645,,1,aggregate_only_n1
standard_severe,ablation_fixed_global,invalid_action_rate_eval,0.0,,1,aggregate_only_n1
standard_severe,ablation_fixed_global,constraint_violation_rate_eval,0.0,,1,aggregate_only_n1
standard_severe,ablation_fixed_global,safety_capacity_index,0.8249259122543865,,1,aggregate_only_n1
