scenario,method,action_category,mean_usage_share,n_seeds
standard_moderate,baseline_rl,communication,0.0,3
standard_moderate,baseline_rl,coordinated,0.16100631023277992,3
standard_moderate,baseline_rl,feeder,0.0698903195040534,3
standard_moderate,baseline_rl,mobile_energy,0.3235251540591395,3
standard_moderate,baseline_rl,power,0.2647352252941633,3
standard_moderate,baseline_rl,road,0.0,3
standard_moderate,baseline_rl,wait,0.18084299090986386,3
standard_moderate,full_outer_loop,communication,0.0423728813559322,3
standard_moderate,full_outer_loop,coordinated,0.1497802887633396,3
standard_moderate,full_outer_loop,feeder,0.06945386064030133,3
standard_moderate,full_outer_loop,mobile_energy,0.3313935969868173,3
standard_moderate,full_outer_loop,power,0.21429378531073448,3
standard_moderate,full_outer_loop,road,0.03954802259887006,3
standard_moderate,full_outer_loop,wait,0.15315756434400504,3
standard_moderate,single_shot_llm,communication,0.05466166783826707,3
standard_moderate,single_shot_llm,coordinated,0.1483465970070672,3
standard_moderate,single_shot_llm,feeder,0.061548074669999224,3
standard_moderate,single_shot_llm,mobile_energy,0.3340083776661141,3
standard_moderate,single_shot_llm,power,0.20972645300146667,3
standard_moderate,single_shot_llm,road,0.03954802259887006,3
standard_moderate,single_shot_llm,wait,0.15216080721821565,3
