scenario,method,step,mean_cumulative_progress,std_cumulative_progress,n_seeds
standard_moderate,baseline_rl,0,0.004446638955010267,0.001639653195499674,3
standard_moderate,baseline_rl,1,0.0089062915907965,0.0033018295409328866,3
standard_moderate,baseline_rl,2,0.013379077116648245,0.004986752719179894,3
standard_moderate,baseline_rl,3,0.01786517103513068,0.0066947267096452755,3
standard_moderate,baseline_rl,4,0.022326134973101968,0.008359191503451003,3
standard_moderate,baseline_rl,5,0.026799986759821356,0.010045978706088692,3
standard_moderate,baseline_rl,6,0.024402779009606867,0.0001683916605282222,3
standard_moderate,baseline_rl,7,0.0271250125434661,0.0007716769175353749,3
standard_moderate,baseline_rl,8,0.03230041099919185,0.002043560904925923,3
standard_moderate,baseline_rl,9,0.042864645520845755,0.0018355650153732033,3
standard_moderate,baseline_rl,10,0.05318241483635335,0.0016811550180917136,3
standard_moderate,baseline_rl,11,0.05847343305746672,0.002830065827945683,3
standard_moderate,baseline_rl,12,0.06370644933647532,0.004085608650752355,3
standard_moderate,baseline_rl,13,0.06803027623229507,0.005144475788491785,3
standard_moderate,baseline_rl,14,0.07374162144131079,0.006563080867062847,3
standard_moderate,baseline_rl,15,0.07913720607757509,0.007765463002407565,3
standard_moderate,baseline_rl,16,0.08130453858110577,0.008152113429255614,3
standard_moderate,baseline_rl,17,0.08584345214896667,0.009423867283658674,3
standard_moderate,baseline_rl,18,0.09121640357706214,0.010712991721714405,3
standard_moderate,baseline_rl,19,0.09538959629005785,0.011654315726368153,3
standard_moderate,baseline_rl,20,0.09811313450336383,0.012500144592053647,3
standard_moderate,baseline_rl,21,0.10040542814466612,0.012880148892225359,3
standard_moderate,baseline_rl,22,0.10040295786327709,0.012882286963834807,3
standard_moderate,baseline_rl,23,0.10270270374086088,0.013313321043106124,3
standard_moderate,baseline_rl,24,0.10310844580332357,0.012945230286852153,3
standard_moderate,baseline_rl,25,0.10599816507763248,0.01349080491832161,3
standard_moderate,baseline_rl,26,0.10888183613618123,0.013341332978395388,3
standard_moderate,baseline_rl,27,0.10888183613618123,0.013341332978395388,3
standard_moderate,baseline_rl,28,0.11179305778609284,0.013430305138173802,3
standard_moderate,baseline_rl,29,0.11179305778609284,0.013430305138173802,3
standard_moderate,baseline_rl,30,0.11415961384773154,0.01417780028153357,3
standard_moderate,baseline_rl,31,0.11641236477427908,0.013927060998831111,3
standard_moderate,baseline_rl,32,0.1219056036737219,0.013172809734308254,3
standard_moderate,baseline_rl,33,0.12708281642860722,0.01441425337168013,3
standard_moderate,baseline_rl,34,0.12943515015972865,0.0137160363568855,3
standard_moderate,baseline_rl,35,0.13247052331765372,0.008576956665601172,3
standard_moderate,baseline_rl,36,0.1342940429846433,0.009440940258054089,3
standard_moderate,baseline_rl,37,0.13577769398689143,0.009559583819483861,3
standard_moderate,baseline_rl,38,0.14139812688032655,0.0036806883962428867,3
standard_moderate,baseline_rl,39,0.14287792642911143,0.004756057429871208,3
standard_moderate,full_outer_loop,0,0.004845344358020317,0.002330231210765305,3
standard_moderate,full_outer_loop,1,0.009709311856163794,0.004692701440052054,3
standard_moderate,full_outer_loop,2,0.014592084619733913,0.007087743344486532,3
standard_moderate,full_outer_loop,3,0.019493901067309766,0.009515769877192751,3
standard_moderate,full_outer_loop,4,0.02341541979047969,0.010245888151062602,3
standard_moderate,full_outer_loop,5,0.027342806259790835,0.010986169659374961,3
standard_moderate,full_outer_loop,6,0.03117897775438072,0.011821813710512032,3
standard_moderate,full_outer_loop,7,0.03434056374761766,0.013256275261919722,3
standard_moderate,full_outer_loop,8,0.039165510071648195,0.01392981458544156,3
standard_moderate,full_outer_loop,9,0.04854167169994746,0.01166350528668619,3
standard_moderate,full_outer_loop,10,0.056956163711017645,0.008212302460346828,3
standard_moderate,full_outer_loop,11,0.0615344378683298,0.008171792244922066,3
standard_moderate,full_outer_loop,12,0.06686087614960094,0.009755144004651365,3
standard_moderate,full_outer_loop,13,0.07091427511639016,0.009438478628761437,3
standard_moderate,full_outer_loop,14,0.07561535636583912,0.00923133026405086,3
standard_moderate,full_outer_loop,15,0.0799602783388556,0.008709511551927415,3
standard_moderate,full_outer_loop,16,0.08176583713955292,0.008581639411873596,3
standard_moderate,full_outer_loop,17,0.08656968838638668,0.009519270817745699,3
standard_moderate,full_outer_loop,18,0.09067049291398725,0.009038167614329877,3
standard_moderate,full_outer_loop,19,0.09445526699225042,0.008703704255707663,3
standard_moderate,full_outer_loop,20,0.09596750471326969,0.008047557238471365,3
standard_moderate,full_outer_loop,21,0.09740362730291084,0.007516869584136661,3
standard_moderate,full_outer_loop,22,0.09806418915589578,0.007411458344062484,3
standard_moderate,full_outer_loop,23,0.09952387213706897,0.006839980937413919,3
standard_moderate,full_outer_loop,24,0.1004154615932033,0.006292083275180389,3
standard_moderate,full_outer_loop,25,0.10370917949411523,0.00627856409368903,3
standard_moderate,full_outer_loop,26,0.10588847100734626,0.0050130348590499765,3
standard_moderate,full_outer_loop,27,0.10663159853882175,0.0053230281557640445,3
standard_moderate,full_outer_loop,28,0.10870138307412376,0.004499945571041139,3
standard_moderate,full_outer_loop,29,0.10916479925314494,0.00495038861208306,3
standard_moderate,full_outer_loop,30,0.11117743783526861,0.0038760369192218664,3
standard_moderate,full_outer_loop,31,0.11293886105219426,0.0036939533457084565,3
standard_moderate,full_outer_loop,32,0.11825001405344966,0.001997920093045301,3
standard_moderate,full_outer_loop,33,0.12361715071731035,0.009431635593389746,3
standard_moderate,full_outer_loop,34,0.1258308407333151,0.010234817510546458,3
standard_moderate,full_outer_loop,35,0.12636946141719704,0.010108648270362511,3
standard_moderate,full_outer_loop,36,0.12845501965946507,0.0108450713835774,3
standard_moderate,full_outer_loop,37,0.13010468913449064,0.011298475549702154,3
standard_moderate,full_outer_loop,38,0.14211658140023423,0.020365572486118897,3
standard_moderate,full_outer_loop,39,0.1439361274242388,0.021322137988967222,3
standard_moderate,single_shot_llm,0,0.004845344358020317,0.002330231210765305,3
standard_moderate,single_shot_llm,1,0.009709305233425483,0.00469270717550116,3
standard_moderate,single_shot_llm,2,0.014592084619733913,0.007087743344486532,3
standard_moderate,single_shot_llm,3,0.019493901067309766,0.009515769877192751,3
standard_moderate,single_shot_llm,4,0.02341541979047969,0.010245888151062602,3
standard_moderate,single_shot_llm,5,0.027342806259790835,0.010986169659374961,3
standard_moderate,single_shot_llm,6,0.03127620617548599,0.011736711904947565,3
standard_moderate,single_shot_llm,7,0.034826672739452495,0.012847739772813796,3
standard_moderate,single_shot_llm,8,0.04004050625695091,0.013222850521077368,3
standard_moderate,single_shot_llm,9,0.049555334779950964,0.010871854384870065,3
standard_moderate,single_shot_llm,10,0.05704362359311804,0.008135247304032584,3
