scenario,method,step,mean_progress_delta,std_progress_delta,n_seeds
standard_moderate,baseline_rl,0,0.004446638955010267,0.001639653195499674,3
standard_moderate,baseline_rl,1,0.004459652635786233,0.0016621763454479554,3
standard_moderate,baseline_rl,2,0.004472785525851745,0.0016849231782912367,3
standard_moderate,baseline_rl,3,0.004486093918482433,0.001707973990465381,3
standard_moderate,baseline_rl,4,0.004460963937971289,0.001664464793805722,3
standard_moderate,baseline_rl,5,0.004473851786719389,0.0016867872026376945,3
standard_moderate,baseline_rl,6,0.0034028357929653335,0.00016838735920822682,3
standard_moderate,baseline_rl,7,0.0027222335338592334,0.0006735781129588522,3
standard_moderate,baseline_rl,8,0.00517539845572575,0.0012805790106757864,3
standard_moderate,baseline_rl,9,0.010564234521653906,0.00020866985647961602,3
standard_moderate,baseline_rl,10,0.010317769315507595,0.00015503808129644476,3
standard_moderate,baseline_rl,11,0.005291018221113369,0.001150590792399475,3
standard_moderate,baseline_rl,12,0.005233016279008604,0.0012695176488339442,3
standard_moderate,baseline_rl,13,0.004323826895819751,0.0010588748192013296,3
standard_moderate,baseline_rl,14,0.005711345209015701,0.0014186114495644568,3
standard_moderate,baseline_rl,15,0.005395584636264328,0.001208390174638524,3
standard_moderate,baseline_rl,16,0.002167332503530669,0.0003871928192522335,3
standard_moderate,baseline_rl,17,0.004538913567860901,0.001286601182167428,3
standard_moderate,baseline_rl,18,0.005372951428095466,0.001295494605553442,3
standard_moderate,baseline_rl,19,0.004173192712995721,0.0009476658925792179,3
standard_moderate,baseline_rl,20,0.0027235382133059694,0.0008505663604808734,3
standard_moderate,baseline_rl,21,0.0022922936413022877,0.0003804121768736225,3
standard_moderate,baseline_rl,22,-2.470281389024523e-06,2.139349502117822e-06,3
standard_moderate,baseline_rl,23,0.00229974587758378,0.0004575508880795652,3
standard_moderate,baseline_rl,24,0.0004057420624626889,0.0006594604457110996,3
standard_moderate,baseline_rl,25,0.0028897192743089113,0.0009659218604877097,3
standard_moderate,baseline_rl,26,0.0028836710585487583,0.0003136076683849187,3
standard_moderate,baseline_rl,27,0.0,0.0,3
standard_moderate,baseline_rl,28,0.0029112216499116183,0.0003505377034348284,3
standard_moderate,baseline_rl,29,0.0,0.0,3
standard_moderate,baseline_rl,30,0.0023665560616386813,0.0011985575597744647,3
standard_moderate,baseline_rl,31,0.002252750926547547,0.0002604895422333138,3
standard_moderate,baseline_rl,32,0.002670731809404131,0.0006278319563480416,3
standard_moderate,baseline_rl,33,0.0009812861680984326,0.00021613367717833332,3
standard_moderate,baseline_rl,34,0.002352333731121445,0.0009642446071407496,3
standard_moderate,baseline_rl,35,0.0,0.0,3
standard_moderate,baseline_rl,36,0.0018235196669896126,0.0009020879301910238,3
