scenario,method,metric,mean,std,n_valid,evidence_level,excluded_from_main
resource_moderate,ablation_fixed_global,selection_score,0.34349390505419836,0.006374421311644328,3,per_seed_n3,False
resource_moderate,ablation_fixed_global,min_recovery_ratio,0.5891944567362467,8.576745635994528e-05,3,per_seed_n3,False
resource_moderate,ablation_fixed_global,critical_load_recovery_ratio,0.9010915524429745,0.025406355394587517,3,per_seed_n3,False
resource_moderate,ablation_fixed_global,communication_recovery_ratio,0.6360897521177927,8.577556752473814e-05,3,per_seed_n3,False
resource_moderate,ablation_fixed_global,power_recovery_ratio,0.8019158608383603,0.012032310610392182,3,per_seed_n3,False
resource_moderate,ablation_fixed_global,road_recovery_ratio,0.5891944567362467,8.576745635994528e-05,3,per_seed_n3,False
resource_moderate,ablation_fixed_global,constraint_violation_rate_eval,0.0,0.0,3,per_seed_n3,False
resource_moderate,ablation_fixed_global,invalid_action_rate_eval,0.0,0.0,3,per_seed_n3,False
resource_moderate,ablation_fixed_global,wait_hold_usage_eval,0.35,0.0,3,per_seed_n3,False
resource_moderate,ablation_fixed_global,mean_progress_delta_eval,0.004776569952567367,8.03628769699615e-05,3,per_seed_n3,False
resource_moderate,ablation_fixed_global,eval_success_rate,0.0,0.0,3,per_seed_n3,False
resource_moderate,ablation_fixed_global,safety_capacity_index,0.8216001032127275,0.008921464617333529,3,per_seed_n3,False
resource_moderate,baseline_rl,selection_score,0.2348879274174019,0.01804305056736662,3,per_seed_n3,False
resource_moderate,baseline_rl,min_recovery_ratio,0.43174915512402845,0.027844072460850775,3,per_seed_n3,False
resource_moderate,baseline_rl,critical_load_recovery_ratio,0.6557930575476753,0.047580604935110606,3,per_seed_n3,False
resource_moderate,baseline_rl,communication_recovery_ratio,0.48888137439886725,0.0251309505329141,3,per_seed_n3,False
resource_moderate,baseline_rl,power_recovery_ratio,0.5712009933259752,0.021353945831555834,3,per_seed_n3,False
resource_moderate,baseline_rl,road_recovery_ratio,0.4336783670716815,0.030571411343630457,3,per_seed_n3,False
resource_moderate,baseline_rl,constraint_violation_rate_eval,0.04444444444444443,0.06285393610547088,3,per_seed_n3,False
resource_moderate,baseline_rl,invalid_action_rate_eval,0.04444444444444443,0.06285393610547088,3,per_seed_n3,False
resource_moderate,baseline_rl,wait_hold_usage_eval,0.25925925925925924,0.15108205966200844,3,per_seed_n3,False
resource_moderate,baseline_rl,mean_progress_delta_eval,0.0018173445154118666,0.0004379757109066943,3,per_seed_n3,False
resource_moderate,baseline_rl,eval_success_rate,0.0,0.0,3,per_seed_n3,False
resource_moderate,baseline_rl,safety_capacity_index,0.667306441101763,0.014274875230980663,3,per_seed_n3,False
resource_moderate,full_outer_loop,selection_score,0.346965773569213,0.0013000345573873184,3,per_seed_n3,False
resource_moderate,full_outer_loop,min_recovery_ratio,0.5891594423188103,4.9517864017097716e-05,3,per_seed_n3,False
resource_moderate,full_outer_loop,critical_load_recovery_ratio,0.914987799194124,0.0051811452120528075,3,per_seed_n3,False
resource_moderate,full_outer_loop,communication_recovery_ratio,0.6360547343889872,4.952254700030049e-05,3,per_seed_n3,False
resource_moderate,full_outer_loop,power_recovery_ratio,0.8111646208498213,0.007557766333672694,3,per_seed_n3,False
resource_moderate,full_outer_loop,road_recovery_ratio,0.5891594423188103,4.9517864017097716e-05,3,per_seed_n3,False
resource_moderate,full_outer_loop,constraint_violation_rate_eval,0.0,0.0,3,per_seed_n3,False
resource_moderate,full_outer_loop,invalid_action_rate_eval,0.0,0.0,3,per_seed_n3,False
resource_moderate,full_outer_loop,wait_hold_usage_eval,0.35,0.0,3,per_seed_n3,False
resource_moderate,full_outer_loop,mean_progress_delta_eval,0.0048366913364992666,4.9252652576827085e-05,3,per_seed_n3,False
resource_moderate,full_outer_loop,eval_success_rate,0.0,0.0,3,per_seed_n3,False
resource_moderate,full_outer_loop,safety_capacity_index,0.826451534529527,0.0018159700869805027,3,per_seed_n3,False
resource_moderate,single_shot_llm,selection_score,0.346965773569213,0.0013000345573873184,3,per_seed_n3,False
