scenario,method,n_total,n_valid,evidence_level,min_recovery_ratio,critical_load_recovery_ratio,invalid_action_rate_eval,constraint_violation_rate_eval,safety_capacity_index,source_quality_note
standard_moderate,baseline_rl,3,3,per_seed_n3,0.6225333246919844,0.8488253951072693,0.20458602728889186,0.20458602728889186,0.7535997437430711,valid means exclude sentinel runs
standard_moderate,single_shot_llm,3,3,per_seed_n3,0.6417174504862891,0.8603850040170882,0.2699329728854059,0.2699329728854059,0.7447559672105601,valid means exclude sentinel runs
standard_moderate,full_outer_loop,3,3,per_seed_n3,0.6431226697232988,0.8553603324625227,0.25836785938480855,0.25836785938480855,0.7469586929495949,valid means exclude sentinel runs
resource_moderate,baseline_rl,3,3,per_seed_n3,0.4317491551240285,0.6557930575476753,0.044444444444444446,0.044444444444444446,0.667306441101763,valid means exclude sentinel runs
resource_moderate,single_shot_llm,3,3,per_seed_n3,0.47679467664824593,0.7328430049949223,0.0,0.0,0.7233731885751089,seed42 repaired and included
resource_moderate,full_outer_loop,3,3,per_seed_n3,0.45675336983468795,0.6770832141240438,0.0,0.0,0.6968428043855561,valid means exclude sentinel runs
resource_moderate,ablation_fixed_global,1,1,aggregate_only_n1,0.5891944567362467,0.9010915524429746,0.0,0.0,0.8216001032127275,aggregate proxy only
standard_severe,baseline_rl,3,3,per_seed_n3,0.5867565506034428,0.8495023283693526,0.08055555555555556,0.08055555555555556,0.7785239409738117,valid means exclude sentinel runs
standard_severe,single_shot_llm,3,3,per_seed_n3,0.6191268596384261,0.868503150012758,0.0,0.0,0.8206705033779145,valid means exclude sentinel runs
standard_severe,full_outer_loop,3,3,per_seed_n3,0.6199559503131442,0.8854180971781412,0.0,0.0,0.82688091662195,valid means exclude sentinel runs
standard_severe,ablation_fixed_global,3,3,per_seed_n3,0.622740861442354,0.8770474592844645,0.0,0.0,0.8249259122543865,valid means exclude sentinel runs
