scenario,method,seed,preset_name,zone,layer,recovery_ratio
standard_moderate,baseline_rl,42,,A,power,0.9080647130807241
standard_moderate,baseline_rl,42,,A,communication,0.6719400684038798
standard_moderate,baseline_rl,42,,A,road,0.630284438530604
standard_moderate,baseline_rl,42,,A,critical_load,0.7525049050649008
standard_moderate,baseline_rl,42,,B,power,0.7690600951512655
standard_moderate,baseline_rl,42,,B,communication,0.6923934022585551
standard_moderate,baseline_rl,42,,B,road,0.6436177591482798
standard_moderate,baseline_rl,42,,B,critical_load,0.8212774793306986
standard_moderate,baseline_rl,42,,C,power,0.9273067116737366
standard_moderate,baseline_rl,42,,C,communication,0.6749927202860514
standard_moderate,baseline_rl,42,,C,road,0.6269511083761851
standard_moderate,baseline_rl,42,,C,critical_load,0.9821959932645162
standard_moderate,baseline_rl,43,,A,power,0.9506048659483591
standard_moderate,baseline_rl,43,,A,communication,0.6536485354105631
standard_moderate,baseline_rl,43,,A,road,0.6136578222115835
standard_moderate,baseline_rl,43,,A,critical_load,0.8677128752072653
standard_moderate,baseline_rl,43,,B,power,0.9734892050425211
standard_moderate,baseline_rl,43,,B,communication,0.6740163564682007
standard_moderate,baseline_rl,43,,B,road,0.6269911428292593
standard_moderate,baseline_rl,43,,B,critical_load,0.8982290426890055
standard_moderate,baseline_rl,43,,C,power,0.7334534227848053
standard_moderate,baseline_rl,43,,C,communication,0.6567867000897726
standard_moderate,baseline_rl,43,,C,road,0.6103244920571645
standard_moderate,baseline_rl,43,,C,critical_load,0.8132481475671133
standard_moderate,baseline_rl,44,,A,power,1.0
standard_moderate,baseline_rl,44,,A,communication,0.6536485354105631
standard_moderate,baseline_rl,44,,A,road,0.6136578222115835
standard_moderate,baseline_rl,44,,A,critical_load,1.0
standard_moderate,baseline_rl,44,,B,power,1.0
standard_moderate,baseline_rl,44,,B,communication,0.6740163564682007
standard_moderate,baseline_rl,44,,B,road,0.6269911428292593
standard_moderate,baseline_rl,44,,B,critical_load,0.758512000242869
standard_moderate,baseline_rl,44,,C,power,0.6467867096265157
standard_moderate,baseline_rl,44,,C,communication,0.6567867000897726
standard_moderate,baseline_rl,44,,C,road,0.6103244920571645
standard_moderate,baseline_rl,44,,C,critical_load,0.7457481225331625
standard_moderate,single_shot_llm,42,,A,power,0.9214304685592651
standard_moderate,single_shot_llm,42,,A,communication,0.6490932901700338
standard_moderate,single_shot_llm,42,,A,road,0.6094421446323395
standard_moderate,single_shot_llm,42,,A,critical_load,0.9156330029169718
standard_moderate,single_shot_llm,42,,B,power,0.8514747222264608
standard_moderate,single_shot_llm,42,,B,communication,0.7202639480431875
standard_moderate,single_shot_llm,42,,B,road,0.6227754652500153
standard_moderate,single_shot_llm,42,,B,critical_load,0.8670711815357208
standard_moderate,single_shot_llm,42,,C,power,0.9510143498579661
standard_moderate,single_shot_llm,42,,C,communication,0.6522531310717264
standard_moderate,single_shot_llm,42,,C,road,0.6061088144779205
standard_moderate,single_shot_llm,42,,C,critical_load,0.8715012967586517
standard_moderate,single_shot_llm,43,,A,power,1.0
standard_moderate,single_shot_llm,43,,A,communication,0.6536485354105631
