scenario,method,metric,mean,std,n_valid,evidence_level
standard_moderate,baseline_rl,min_recovery_ratio,0.6225333246919844,,3,per_seed_n3
standard_moderate,baseline_rl,critical_load_recovery_ratio,0.8488253951072693,,3,per_seed_n3
standard_moderate,baseline_rl,invalid_action_rate_eval,0.20458602728889186,,3,per_seed_n3
standard_moderate,baseline_rl,constraint_violation_rate_eval,0.20458602728889186,,3,per_seed_n3
standard_moderate,baseline_rl,safety_capacity_index,0.7535997437430711,,3,per_seed_n3
standard_moderate,single_shot_llm,min_recovery_ratio,0.6417174504862891,,3,per_seed_n3
standard_moderate,single_shot_llm,critical_load_recovery_ratio,0.8603850040170882,,3,per_seed_n3
standard_moderate,single_shot_llm,invalid_action_rate_eval,0.2699329728854059,,3,per_seed_n3
standard_moderate,single_shot_llm,constraint_violation_rate_eval,0.2699329728854059,,3,per_seed_n3
standard_moderate,single_shot_llm,safety_capacity_index,0.7447559672105601,,3,per_seed_n3
standard_moderate,full_outer_loop,min_recovery_ratio,0.6431226697232988,,3,per_seed_n3
standard_moderate,full_outer_loop,critical_load_recovery_ratio,0.8553603324625227,,3,per_seed_n3
standard_moderate,full_outer_loop,invalid_action_rate_eval,0.25836785938480855,,3,per_seed_n3
standard_moderate,full_outer_loop,constraint_violation_rate_eval,0.25836785938480855,,3,per_seed_n3
standard_moderate,full_outer_loop,safety_capacity_index,0.7469586929495949,,3,per_seed_n3
resource_moderate,baseline_rl,min_recovery_ratio,0.4317491551240285,,3,per_seed_n3
resource_moderate,baseline_rl,critical_load_recovery_ratio,0.6557930575476753,,3,per_seed_n3
resource_moderate,baseline_rl,invalid_action_rate_eval,0.044444444444444446,,3,per_seed_n3
resource_moderate,baseline_rl,constraint_violation_rate_eval,0.044444444444444446,,3,per_seed_n3
resource_moderate,baseline_rl,safety_capacity_index,0.667306441101763,,3,per_seed_n3
resource_moderate,single_shot_llm,min_recovery_ratio,0.47679467664824593,,3,per_seed_n3
resource_moderate,single_shot_llm,critical_load_recovery_ratio,0.7328430049949223,,3,per_seed_n3
resource_moderate,single_shot_llm,invalid_action_rate_eval,0.0,,3,per_seed_n3
resource_moderate,single_shot_llm,constraint_violation_rate_eval,0.0,,3,per_seed_n3
resource_moderate,single_shot_llm,safety_capacity_index,0.7233731885751089,,3,per_seed_n3
resource_moderate,full_outer_loop,min_recovery_ratio,0.45675336983468795,,3,per_seed_n3
resource_moderate,full_outer_loop,critical_load_recovery_ratio,0.6770832141240438,,3,per_seed_n3
resource_moderate,full_outer_loop,invalid_action_rate_eval,0.0,,3,per_seed_n3
resource_moderate,full_outer_loop,constraint_violation_rate_eval,0.0,,3,per_seed_n3
resource_moderate,full_outer_loop,safety_capacity_index,0.6968428043855561,,3,per_seed_n3
resource_moderate,ablation_fixed_global,min_recovery_ratio,0.5891944567362467,,1,aggregate_only_n1
resource_moderate,ablation_fixed_global,critical_load_recovery_ratio,0.9010915524429746,,1,aggregate_only_n1
resource_moderate,ablation_fixed_global,invalid_action_rate_eval,0.0,,1,aggregate_only_n1
resource_moderate,ablation_fixed_global,constraint_violation_rate_eval,0.0,,1,aggregate_only_n1
resource_moderate,ablation_fixed_global,safety_capacity_index,0.8216001032127275,,1,aggregate_only_n1
standard_severe,baseline_rl,min_recovery_ratio,0.5867565506034428,,3,per_seed_n3
standard_severe,baseline_rl,critical_load_recovery_ratio,0.8495023283693526,,3,per_seed_n3
standard_severe,baseline_rl,invalid_action_rate_eval,0.08055555555555556,,3,per_seed_n3
standard_severe,baseline_rl,constraint_violation_rate_eval,0.08055555555555556,,3,per_seed_n3
standard_severe,baseline_rl,safety_capacity_index,0.7785239409738117,,3,per_seed_n3
standard_severe,single_shot_llm,min_recovery_ratio,0.6191268596384261,,3,per_seed_n3
standard_severe,single_shot_llm,critical_load_recovery_ratio,0.868503150012758,,3,per_seed_n3
standard_severe,single_shot_llm,invalid_action_rate_eval,0.0,,3,per_seed_n3
standard_severe,single_shot_llm,constraint_violation_rate_eval,0.0,,3,per_seed_n3
standard_severe,single_shot_llm,safety_capacity_index,0.8206705033779145,,3,per_seed_n3
standard_severe,full_outer_loop,min_recovery_ratio,0.6199559503131442,,3,per_seed_n3
standard_severe,full_outer_loop,critical_load_recovery_ratio,0.8854180971781412,,3,per_seed_n3
standard_severe,full_outer_loop,invalid_action_rate_eval,0.0,,3,per_seed_n3
standard_severe,full_outer_loop,constraint_violation_rate_eval,0.0,,3,per_seed_n3
standard_severe,full_outer_loop,safety_capacity_index,0.82688091662195,,3,per_seed_n3
standard_severe,ablation_fixed_global,min_recovery_ratio,0.622740861442354,,3,per_seed_n3
standard_severe,ablation_fixed_global,critical_load_recovery_ratio,0.8770474592844645,,3,per_seed_n3
standard_severe,ablation_fixed_global,invalid_action_rate_eval,0.0,,3,per_seed_n3
standard_severe,ablation_fixed_global,constraint_violation_rate_eval,0.0,,3,per_seed_n3
standard_severe,ablation_fixed_global,safety_capacity_index,0.8249259122543865,,3,per_seed_n3
