scenario,method,action_category,mean_usage_share,n_seeds
standard_moderate,baseline_rl,communication,0.08959745953256067,3
standard_moderate,baseline_rl,coordinated,0.03762842472171869,3
standard_moderate,baseline_rl,feeder,0.02844533936581418,3
standard_moderate,baseline_rl,mobile_energy,0.0406239067834276,3
standard_moderate,baseline_rl,power,0.04934125864426262,3
standard_moderate,baseline_rl,road,0.06950249308935921,3
standard_moderate,baseline_rl,wait,0.18673088176363678,3
standard_moderate,full_outer_loop,communication,0.09633551927548137,3
standard_moderate,full_outer_loop,coordinated,0.027428503994871973,3
standard_moderate,full_outer_loop,feeder,0.028327483937157682,3
standard_moderate,full_outer_loop,mobile_energy,0.03975608341829148,3
standard_moderate,full_outer_loop,power,0.05106780570735252,3
standard_moderate,full_outer_loop,road,0.06899575100250772,3
standard_moderate,full_outer_loop,wait,0.1757785338570711,3
standard_moderate,single_shot_llm,communication,0.09548063458590625,3
standard_moderate,single_shot_llm,coordinated,0.03517675001320556,3
standard_moderate,single_shot_llm,feeder,0.026772713619136478,3
standard_moderate,single_shot_llm,mobile_energy,0.04331457507941028,3
standard_moderate,single_shot_llm,power,0.054850260769574055,3
standard_moderate,single_shot_llm,road,0.06015022088182013,3
standard_moderate,single_shot_llm,wait,0.17666346241752584,3
