scenario,method,step,mean_progress_delta,std_progress_delta,n_seeds
standard_moderate,baseline_rl,0,0.004446638955010308,0.002677542456065419,3
standard_moderate,baseline_rl,1,0.004459652635786269,0.002714308557025496,3
standard_moderate,baseline_rl,2,0.00447278552585178,0.002751475052891046,3
standard_moderate,baseline_rl,3,0.004486093918482463,0.002789106334852719,3
standard_moderate,baseline_rl,4,0.004460963937971327,0.002718059626433892,3
standard_moderate,baseline_rl,5,0.004473851786719428,0.0027545119674126472,3
standard_moderate,baseline_rl,6,0.003390684723854065,0.00028936089238427857,3
standard_moderate,baseline_rl,7,0.002625010907649994,0.001515550754377194,3
standard_moderate,baseline_rl,8,0.004990562796592712,0.003970284749632603,3
standard_moderate,baseline_rl,9,0.010594353079795837,0.0009213648860514166,3
standard_moderate,baseline_rl,10,0.010340146720409393,0.0006579348217341321,3
standard_moderate,baseline_rl,11,0.005124971270561218,0.004599762888332482,3
standard_moderate,baseline_rl,12,0.005051076412200928,0.004711787647227114,3
standard_moderate,baseline_rl,13,0.004170991480350494,0.005361808194813183,3
standard_moderate,baseline_rl,14,0.005506586283445358,0.004615348374662585,3
standard_moderate,baseline_rl,15,0.005222145467996597,0.004830526183354241,3
standard_moderate,baseline_rl,16,0.0021114908158779144,0.0013630271478835055,3
standard_moderate,baseline_rl,17,0.004355348646640778,0.005641430955811278,3
standard_moderate,baseline_rl,18,0.005187228322029114,0.004754215080995675,3
standard_moderate,baseline_rl,19,0.004037827253341675,0.005225531065098702,3
standard_moderate,baseline_rl,20,0.0026020146906375885,0.0015353351369205136,3
standard_moderate,baseline_rl,21,0.002237387001514435,0.0013754563070350388,3
standard_moderate,baseline_rl,22,-2.779066562652588e-06,4.813507548925829e-06,3
standard_moderate,baseline_rl,23,0.0022385939955711365,0.0013831141435622864,3
standard_moderate,baseline_rl,24,0.00045645982027053833,0.0011514154150356383,3
standard_moderate,baseline_rl,25,0.002813432365655899,0.001289645800386391,3
standard_moderate,baseline_rl,26,0.0029036030173301697,0.0006147169649609955,3
standard_moderate,baseline_rl,27,0.0,0.0,3
standard_moderate,baseline_rl,28,0.002897508442401886,0.000917306585893787,3
standard_moderate,baseline_rl,29,0.0,0.0,3
standard_moderate,baseline_rl,30,0.0022641047835350037,0.0015431149181599033,3
standard_moderate,baseline_rl,31,0.002288132905960083,0.0017998139975216982,3
standard_moderate,baseline_rl,32,0.002592921257019043,0.0013460489282312324,3
standard_moderate,baseline_rl,33,0.0009689629077911377,0.0013070997096963429,3
standard_moderate,baseline_rl,34,0.0024820097855159213,0.0012013903393170522,3
standard_moderate,baseline_rl,35,0.0,0.0,3
standard_moderate,baseline_rl,36,0.0017563288028423602,0.001518116474971542,3
standard_moderate,baseline_rl,37,0.0014744997024536133,0.0014943276106821907,3
standard_moderate,baseline_rl,38,0.0008749961853027344,0.001515537849373288,3
