scenario,method,n_valid,evidence_level,selection_score,min_recovery_ratio,critical_load_recovery_ratio,safety_capacity_index
standard_moderate,baseline_rl,3,per_seed_n3,0.4106497732987551,0.6225333246919844,0.8488253951072693,0.7535997437430711
standard_moderate,full_outer_loop,3,per_seed_n3,0.3973846245639869,0.6431872877809737,0.8554095658991072,0.7469985409725857
standard_moderate,single_shot_llm,3,per_seed_n3,0.3971890678124676,0.6417820685439639,0.8604342374536726,0.744795815233551
resource_moderate,ablation_fixed_global,1,partial_n1,0.0,0.5891944567362467,0.9010915524429746,0.8216001032127275
resource_moderate,baseline_rl,3,per_seed_n3,0.2348879274174019,0.43174915512402845,0.6557930575476753,0.667306441101763
resource_moderate,full_outer_loop,3,per_seed_n3,0.29298216543374234,0.5097570154401991,0.7628361582756042,0.7454076108005312
resource_moderate,single_shot_llm,3,per_seed_n3,0.31552119085965336,0.5298333366711934,0.8369559645652771,0.7783762554327647
standard_severe,ablation_fixed_global,3,per_seed_n3,0.43308277495057734,0.622740861442354,0.8770474592844645,0.8249259122543865
standard_severe,baseline_rl,3,per_seed_n3,0.3132951339540027,0.5867565506034428,0.8495023283693526,0.7785239409738117
standard_severe,full_outer_loop,3,per_seed_n3,0.3888999278763751,0.6173163519965278,0.882509622308943,0.8249390910069148
standard_severe,single_shot_llm,3,per_seed_n3,0.41903254133200174,0.6191268596384261,0.868503150012758,0.8206705033779145
