scenario,method,metric,mean,std,n_valid,evidence_level
standard_moderate,baseline_rl,selection_score,0.4106497732987551,0.010504362433620384,3,per_seed_n3
standard_moderate,baseline_rl,min_recovery_ratio,0.6225333246919844,0.00783787146421062,3,per_seed_n3
standard_moderate,baseline_rl,critical_load_recovery_ratio,0.8488253951072693,0.010439746206807113,3,per_seed_n3
standard_moderate,baseline_rl,communication_recovery_ratio,0.6675810615221659,0.008622711345247782,3,per_seed_n3
standard_moderate,baseline_rl,power_recovery_ratio,0.8787517613834805,0.007642523462692259,3,per_seed_n3
standard_moderate,baseline_rl,road_recovery_ratio,0.6225333246919844,0.00783787146421062,3,per_seed_n3
standard_moderate,baseline_rl,constraint_violation_rate_eval,0.20458602728889183,0.012341518434022234,3,per_seed_n3
standard_moderate,baseline_rl,invalid_action_rate_eval,0.20458602728889183,0.012341518434022234,3,per_seed_n3
standard_moderate,baseline_rl,wait_hold_usage_eval,0.18084299090986383,0.012247255734805215,3,per_seed_n3
standard_moderate,baseline_rl,mean_progress_delta_eval,0.004179024560521834,0.0016690117787254925,3,per_seed_n3
standard_moderate,baseline_rl,eval_success_rate,0.3333333333333333,0.0,3,per_seed_n3
standard_moderate,baseline_rl,safety_capacity_index,0.7535997437430711,0.004868124882730094,3,per_seed_n3
standard_moderate,full_outer_loop,selection_score,0.3973846245639869,0.022117616347670836,3,per_seed_n3
standard_moderate,full_outer_loop,min_recovery_ratio,0.6431872877809737,0.031249960515511366,3,per_seed_n3
standard_moderate,full_outer_loop,critical_load_recovery_ratio,0.8554095658991072,0.01249766749512771,3,per_seed_n3
standard_moderate,full_outer_loop,communication_recovery_ratio,0.6811016864246792,0.02156046394481565,3,per_seed_n3
standard_moderate,full_outer_loop,power_recovery_ratio,0.8503491017553542,0.035395638638727106,3,per_seed_n3
standard_moderate,full_outer_loop,road_recovery_ratio,0.6431872877809737,0.031249960515511366,3,per_seed_n3
standard_moderate,full_outer_loop,constraint_violation_rate_eval,0.25836785938480855,0.08138388730222816,3,per_seed_n3
standard_moderate,full_outer_loop,invalid_action_rate_eval,0.25836785938480855,0.08138388730222816,3,per_seed_n3
standard_moderate,full_outer_loop,wait_hold_usage_eval,0.15315756434400501,0.03729435335724367,3,per_seed_n3
standard_moderate,full_outer_loop,mean_progress_delta_eval,0.0036087555881446254,0.0005351742488565559,3,per_seed_n3
standard_moderate,full_outer_loop,eval_success_rate,0.3333333333333333,0.0,3,per_seed_n3
standard_moderate,full_outer_loop,safety_capacity_index,0.7469985409725857,0.017682101707399138,3,per_seed_n3
standard_moderate,single_shot_llm,selection_score,0.3971890678124676,0.02188716118104514,3,per_seed_n3
standard_moderate,single_shot_llm,min_recovery_ratio,0.6417820685439639,0.03246739984887597,3,per_seed_n3
standard_moderate,single_shot_llm,critical_load_recovery_ratio,0.8604342374536726,0.018705759099930153,3,per_seed_n3
standard_moderate,single_shot_llm,communication_recovery_ratio,0.6852304306295183,0.018356276463752628,3,per_seed_n3
standard_moderate,single_shot_llm,power_recovery_ratio,0.8531434800889757,0.039289489513613496,3,per_seed_n3
standard_moderate,single_shot_llm,road_recovery_ratio,0.6417820685439639,0.03246739984887597,3,per_seed_n3
standard_moderate,single_shot_llm,constraint_violation_rate_eval,0.2699329728854059,0.07304229567895809,3,per_seed_n3
standard_moderate,single_shot_llm,invalid_action_rate_eval,0.2699329728854059,0.07304229567895809,3,per_seed_n3
standard_moderate,single_shot_llm,wait_hold_usage_eval,0.15216080721821562,0.03689844471240135,3,per_seed_n3
