scenario,method,action_category,mean_usage_share,n_seeds
standard_moderate,baseline_rl,coordinated,0.16100631023277992,3
standard_moderate,baseline_rl,feeder,0.10483547925608011,2
standard_moderate,baseline_rl,mobile_energy,0.16176257702956975,6
standard_moderate,baseline_rl,power,0.1985514189706225,4
standard_moderate,baseline_rl,wait,0.18084299090986386,3
standard_moderate,full_outer_loop,communication,0.1271186440677966,1
standard_moderate,full_outer_loop,coordinated,0.1497802887633396,3
standard_moderate,full_outer_loop,feeder,0.10418079096045199,2
standard_moderate,full_outer_loop,mobile_energy,0.1242725988700565,8
standard_moderate,full_outer_loop,power,0.16072033898305085,4
standard_moderate,full_outer_loop,road,0.11864406779661017,1
standard_moderate,full_outer_loop,wait,0.15315756434400504,3
standard_moderate,single_shot_llm,communication,0.08199250175740061,2
standard_moderate,single_shot_llm,coordinated,0.1483465970070672,3
standard_moderate,single_shot_llm,feeder,0.09232211200499883,2
standard_moderate,single_shot_llm,mobile_energy,0.1252531416247928,8
standard_moderate,single_shot_llm,power,0.10486322650073332,6
standard_moderate,single_shot_llm,road,0.11864406779661017,1
standard_moderate,single_shot_llm,wait,0.15216080721821565,3
